,region,new,price,bedrm,bth,sqft
428 N Hardesty Ave,"North India Mound, Kansas City, MO",OLD,"$126,000",2bd,1ba,"1,112 sqft"
9211 NE 111th St,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$370,270",4bd,3ba,"2,123 sqft"
2540 Park Ave,"Wendell Phillips, Kansas City, MO",OLD,"$85,000",3bd,2ba,"2,196 sqft"
Hawksbury,"Kansas City, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$459,100+",5bd,4ba,"3,042 sqft"
4808 NE 95th Ter,"Kansas City, MO",OLD,"$469,950",4bd,4ba,"2,787 sqft"
2234 Tracy Ave,"Beacon Hills, Kansas City, MO",OLD,"$615,000",3bd,4ba,"2,398 sqft"
4408 S Benton Ave,"Oak Park Southwest, Kansas City, MO",OLD,"$59,000",2bd,1ba,"1,200 sqft"
7419 Harrison St,"Tower Homes, Kansas City, MO",AUCTION,"$221,000",4bd,3ba,"2,024 sqft"
5401 Lydia Ave,"Eastern 49-63, Kansas City, MO",OLD,"$325,000",3bd,3ba,"1,707 sqft"
3716 NW Old Stagecoach Rd,"Oakwood, Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$322,035",3bd,3ba,"1,789 sqft"
2826 Campbell St,"Longfellow, Kansas City, MO",OLD,"$600,000",4bd,4ba,"4,000 sqft"
10726 N Holly St,"Kansas City, MO",OLD,"$454,950",4bd,3ba,"2,729 sqft"
9214 NE 110th Ct,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$399,950",4bd,4ba,"2,323 sqft"
10720 N Fisk Ave,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$409,950",4bd,3ba,"2,525 sqft"
11736 N Laurel Ave,"Kansas City, MO",OLD,"$334,900",3bd,2ba,"1,592 sqft"
3609 NE 91st St,"Kansas City, MO",OLD,"$380,500",3bd,2ba,"1,631 sqft"
540 NW 110th St,"Kansas City, MO",OLD,"$347,900",3bd,3ba,"2,094 sqft"
Hawksbury,"Kansas City, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$423,100+",5bd,4ba,"2,584 sqft"
10605 N Fisk Ave,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$412,950",4bd,4ba,"2,436 sqft"
Holly Farms,"Kansas City, MO",NEWNEW CONSTRUCTIONBUILDABLE PLAN,"$387,000+",4bd,3ba,"2,615 sqft"
Limon Province Costa Rica #6,"Kansas City, MO",OLD,"$1,799,000",6bd,4ba,"5,000 sqft"
SomerBrook,"Kansas City, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$353,200+",3bd,2ba,"1,648 sqft"
Northfield Village,"Kansas City, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$326,700+",4bd,3ba,"2,165 sqft"
9330 N Ditzler Ave,"Kansas City, MO",OLD,"$419,900",4bd,3ba,"2,482 sqft"
11722 N Laurel Ave,"Kansas City, MO",OLD,"$365,900",4bd,3ba,"2,440 sqft"
8652 N Liston Ave,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$310,950",3bd,2ba,"1,496 sqft"
8707 N Liston Ave,"Kansas City, MO",OLD,"$405,946",3bd,3ba,"2,364 sqft"
2707 NW 92nd St,"Kansas City, MO",OLD,"$549,900",4bd,4ba,"3,636 sqft"
11806 E 58th St,"Faireway Hills, Kansas City, MO",OLD,"$111,500",3bd,1ba,"1,012 sqft"
6613 NW 106th Ter,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$469,950",5bd,4ba,"2,668 sqft"
704 W 44th Ter,"Plaza Westport, Kansas City, MO",OLD,"$640,000",3bd,3ba,"2,032 sqft"
5312 Myrtle Ave,"Swope Parkway - Elmwood, Kansas City, MO",OLD,"$84,000",4bd,2ba,"1,088 sqft"
9212 NE 110th Ct,"Kansas City, MO",OLD,"$396,950",4bd,3ba,"2,121 sqft"
8903 NE 81st Ter,"Kansas City, MO",OLD,"$419,448",3bd,3ba,"2,087 sqft"
4524 Summit St,"West Plaza, Kansas City, MO",OLD,"$895,000",2bd,3ba,"3,397 sqft"
318 N Lawndale Ave,"North India Mound, Kansas City, MO",OLD,"$78,000",3bd,2ba,"1,618 sqft"
5924 N Cosby Ave,"Kansas City, MO",OLD,"$779,900",5bd,4ba,"3,358 sqft"
3704 NW Old Stagecoach Rd #9,"Oakwood, Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$300,969",3bd,2ba,"1,401 sqft"
4542 Mercier St,"West Plaza, Kansas City, MO",OLD,"$995,000",4bd,4ba,"3,796 sqft"
7615 N Tullis Ave,"Kansas City, MO",OLD,"$479,900",4bd,4ba,"2,749 sqft"
SomerBrook,"Kansas City, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$372,700+",4bd,3ba,"2,525 sqft"
9221 NE 111th St,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$401,950",4bd,3ba,"2,329 sqft"
3707 NE 91st St,"Kansas City, MO",OLD,"$373,100",3bd,2ba,"1,637 sqft"
Holly Farms,"Kansas City, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$379,800+",4bd,3ba,"2,154 sqft"
8640 N Liston Ave,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$339,950",3bd,2ba,"1,648 sqft"
6812 E 13th St,"East Blue Valley, Kansas City, MO",OLD,"$40,000",1bd,1ba,"1,576 sqft"
9815 N Denton Ave,"Kansas City, MO",OLD,"$479,900",4bd,4ba,1 sqft
Hawksbury,"Kansas City, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$359,600+",4bd,3ba,"2,329 sqft"
8903 NE 81st Ter,"Kansas City, MO",OLD,"$419,448",3bd,3ba,"2,087 sqft"
1814 Cambridge Ave,"Central Blue Valley - Park Tower Grade, Kansas City, MO",OLD,"$60,000",2bd,1ba,"1,048 sqft"
The Communities of Green Hills Phase III,"Kansas City, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$298,990+",2bd,3ba,"1,664 sqft"
10704 N Fisk Ave,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$393,950",3bd,2ba,"1,496 sqft"
534 NW 110th St,"Kansas City, MO",OLD,"$319,900",2bd,2ba,"1,444 sqft"
2609 NW 92nd St,"Kansas City, MO",OLD,"$545,000",4bd,4ba,"3,855 sqft"
5809 Saint John Ave,"South India Mound, Kansas City, MO",FOR SALE BY OWNER,"$120,000",3bd,1ba,"1,032 sqft"
4522 Mercier St,"West Plaza, Kansas City, MO",OLD,"$199,000",2bd,2ba,"1,063 sqft"
11108 N Oxford Ave,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$397,950",4bd,4ba,"2,323 sqft"
3821 E 67th Ter,"Foxtown East, Kansas City, MO",OLD,"$45,000",4bd,2ba,"2,702 sqft"
Holly Farms,"Kansas City, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$391,500+",4bd,3ba,"2,322 sqft"
SomerBrook,"Kansas City, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$380,700+",4bd,3ba,"2,137 sqft"
Hawksbury,"Kansas City, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$373,400+",3bd,2ba,"1,770 sqft"
4015 S Benton Ave,"Oak Park Southwest, Kansas City, MO",OLD,"$65,000",3bd,2ba,"1,680 sqft"
9202 NE 110th Ct,"Kansas City, MO",OLD,"$383,950",4bd,3ba,"2,121 sqft"
10714 N Holly St,"Kansas City, MO",OLD,"$455,950",4bd,4ba,"2,439 sqft"
8614 NE 103rd Ter,"Kansas City, MO",OLD,"$381,680",3bd,2ba,"2,230 sqft"
11705 N Windsor Ave,"Kansas City, MO",OLD,"$334,900",3bd,2ba,"1,592 sqft"
4915 Highland Ave,"Blue Hills, Kansas City, MO",OLD,"$64,900",2bd,1ba,814 sqft
5408 NE 62nd St,"Kansas City, MO",OLD,"$259,900",4bd,3ba,"1,600 sqft"
5418 NE 62nd St,"Kansas City, MO",OLD,"$259,900",4bd,3ba,"1,600 sqft"
8704 N Allenton Ave,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$374,950",4bd,3ba,"2,431 sqft"
The Communities of Green Hills Phase III,"Kansas City, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$259,952+",2bd,2ba,"1,151 sqft"
6708 NW 105th St,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$484,000",4bd,3ba,"2,827 sqft"
3012 College Ave,"Santa Fe, Kansas City, MO",OLD,"$47,500",4bd,1ba,"1,999 sqft"
9202 SE 110th St,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$383,950",4bd,3ba,"2,123 sqft"
2006 NE 113th Ter,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$429,000",4bd,4ba,"3,465 sqft"
6605 NW 106th Ter,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$459,950",4bd,4ba,"2,427 sqft"
8405 NE 104th Ter,"Hickman Mills South, Kansas City, MO",OLD,"$339,900",4bd,3ba,2 sqft
2119 E 73rd St,"East Meyer 7, Kansas City, MO",OLD,"$49,900",2bd,1ba,"1,068 sqft"
Hawksbury,"Kansas City, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$441,300+",5bd,4ba,"2,707 sqft"
10613 N Fisk Ave,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$379,950",3bd,2ba,"1,648 sqft"
Jardines De Palma Real #206-03,"Kansas City, MO",OLD,"$649,900",3bd,3.5ba,"3,900 sqft"
SomerBrook,"Kansas City, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$358,900+",3bd,2ba,"1,811 sqft"
3525 Tracy Ave,"Squier Park, Kansas City, MO",OLD,"$380,000",3bd,3ba,"2,210 sqft"
9833 NE 98th Pl,"Kansas City, MO",OLD,"$205,000",2bd,3ba,"1,378 sqft"
5402 NE 62nd St,"Kansas City, MO",OLD,"$259,900",4bd,3ba,"1,600 sqft"
3941 Vineyard Rd,"Vineyard, Kansas City, MO",OLD,"$74,000",3bd,1ba,960 sqft
403 Askew Ave,"Sarritt Point, Kansas City, MO",OLD,"$82,500",2bd,2ba,"1,320 sqft"
2410 E 70th St,"Bleheim Square - Research Hospital, Kansas City, MO",OLD,"$155,000",3bd,2ba,"1,140 sqft"
11735 N Windsor Ave,"Kansas City, MO",OLD,"$349,900",3bd,2ba,"1,472 sqft"
10619 Eastern Ave,"Hickman Mills South, Kansas City, MO",OLD,"$105,000",3bd,1ba,"1,055 sqft"
4004 Bellefontaine Ave,"Oak Park Southwest, Kansas City, MO",FOR SALE BY OWNER,"$85,000",3bd,1ba,"1,215 sqft"
10614 N Fisk Ave,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$420,000",4bd,3ba,"2,165 sqft"
8657 N Liston St,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$387,000",4bd,3ba,"2,729 sqft"
11701 E 45th Ter,"Sterling Acres, Kansas City, MO",OLD,"$185,000",3bd,1ba,"1,230 sqft"
10610 N Fisk Ave,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$423,950",4bd,3ba,"2,525 sqft"
4526 Summit St,"West Plaza, Kansas City, MO",OLD,"$895,000",2bd,3ba,"3,397 sqft"
5420 NE 62nd St,"Kansas City, MO",OLD,"$259,900",4bd,3ba,"1,600 sqft"
6607 NW 105th St,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$429,950",4bd,4ba,"2,436 sqft"
2708 Harrison St,"Longfellow, Kansas City, MO",OLD,"$450,000",3bd,3ba,"1,850 sqft"
9219 McGee St,"Bonne Hills, Kansas City, MO",OLD,"$262,000",3bd,3ba,"1,800 sqft"
6927 Agnes Ave,"Self Help Neighborhood Council, Kansas City, MO",OLD,"$82,500",3bd,1ba,"1,400 sqft"
3631 Bales Ave,"Palestine West and Oak Park Northeast, Kansas City, MO",OLD,"$72,800",3bd,1ba,"1,450 sqft"
Hawksbury,"Kansas City, MO",NEWNEW CONSTRUCTIONBUILDABLE PLAN,"$415,800+",4bd,3ba,"2,827 sqft"
815 E 110th Pl,"Red Bridge North, Kansas City, MO",OLD,"$327,990",2bd,2ba,"1,375 sqft"
5016 Michigan Ave,"Blue Hills, Kansas City, MO",OLD,"$60,000",3bd,1ba,"1,200 sqft"
3007 Ashland Ridge Rd,"West Blue Township, Kansas City, MO",OLD,"$135,000",3bd,1ba,"1,852 sqft"
6945 Chestnut Ave,"Self Help Neighborhood Council, Kansas City, MO",OLD,"$75,000",3bd,1ba,989 sqft
2224 Quincy St,"East Community Team North, Kansas City, MO",OLD,"$40,000",2bd,1ba,"1,608 sqft"
2307 Drury Ave,"South Blue Valley, Kansas City, MO",OLD,"$45,000",3bd,1ba,"2,686 sqft"
SomerBrook,"Kansas City, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$373,000+",4bd,3ba,"2,615 sqft"
5839 Park Ave,"Blue Hills, Kansas City, MO",OLD,"$69,000",2bd,1ba,770 sqft
1918 Monroe Ave,"East Community Team North, Kansas City, MO",OLD,"$40,000",2bd,1ba,988 sqft
817 E 110th Pl,"Red Bridge North, Kansas City, MO",OLD,"$327,990",2bd,2ba,"1,375 sqft"
3702 E 23rd St,"East Community Team North, Kansas City, MO",OLD,"$40,000",3bd,1ba,"2,112 sqft"
2533 Poplar Ave,"East Community Team South, Kansas City, MO",OLD,"$40,000",2bd,1ba,"1,672 sqft"
2830 Campbell St,"Longfellow, Kansas City, MO",OLD,"$600,000",4bd,4ba,"3,000 sqft"
2432 Cypress Ave,"East Community Team South, Kansas City, MO",OLD,"$40,000",2bd,1ba,"1,664 sqft"
3612 E 19th St,"East Community Team North, Kansas City, MO",OLD,"$45,000",2bd,1ba,"1,104 sqft"
4316 E 25th St,"East Community Team South, Kansas City, MO",OLD,"$40,000",2bd,1ba,"1,992 sqft"
821 E 110th Pl,"Red Bridge North, Kansas City, MO",OLD,"$327,990",2bd,2ba,"1,375 sqft"
9213 NE 111th St,"Kansas City, MO",NEWNEW CONSTRUCTIONQUICK MOVE-IN,"$403,885",4bd,3ba,"2,525 sqft"
9212 SE 110th Ter,"Kansas City, MO",NEWNEW CONSTRUCTIONQUICK MOVE-IN,"$396,950",4bd,3ba,"2,123 sqft"
305 NW 80th St,"Kansas City, MO",NEW,"$185,000",3bd,2ba,"2,150 sqft"
3718 Crescent Ave,"Ashland Ridge, Kansas City, MO",NEW,"$117,500",2bd,1ba,910 sqft
6033 E Truman Rd,"West Blue Valley, Kansas City, MO",NEWFOR SALE BY OWNER,"$39,980",2bd,1ba,900 sqft
4327 N Spruce Ave,"Kansas City, MO",NEW,"$55,000",2bd,1ba,668 sqft
5926 Forest Ave,"Eastern 49-63, Kansas City, MO",NEWFOR SALE BY OWNER,"$89,980",2bd,1ba,912 sqft
132 Brooklyn Ave,"Pendleton Heights, Kansas City, MO",NEW,"$199,000",4bd,2ba,"1,770 sqft"
1610 Oakley Ave,"West Blue Valley, Kansas City, MO",NEWFOR SALE BY OWNER,"$39,980",4bd,2ba,"1,272 sqft"
10504 Holmes Rd,"Bridlespur, Kansas City, MO",NEW,"$160,000",5bd,2ba,"1,536 sqft"
100 NW 76th St,"Gladstone, MO",NEW,"$239,900",3bd,3ba,"2,740 sqft"
11104 E 73rd St,"Raytown, MO",NEW,"$179,700",4bd,2ba,"3,190 sqft"
1302 NE 70th Ter,"Kansas City, MO",OLD,"$176,500",3bd,2ba,"1,441 sqft"
6717 NW Blair Rd,"Parkville, MO",NEW,"$287,500",3bd,3ba,"2,095 sqft"
7704 Westridge Rd,"Raytown, MO",FOR SALE BY OWNER,"$170,000",5bd,3ba,"1,906 sqft"
6600 Harris Ave,"Raytown, MO",OLD,"$180,000",4bd,2ba,"1,980 sqft"
650 NE 65th Ter,"Gladstone, MO",OLD,"$242,000",3bd,3ba,"2,109 sqft"
1441 E 21st Ave,"North Kansas City, MO",OLD,"$215,000",4bd,3ba,"1,680 sqft"
1050 NW South Shore Dr,"Lake Waukomis, MO",OLD,"$284,500",5bd,2ba,"1,768 sqft"
5607 Spinnaker Point,"Parkville, MO",OLD,"$679,000",5bd,5ba,"5,082 sqft"
13200 NW 81st St,"Parkville, MO",OLD,"$515,000",3bd,3ba,"2,975 sqft"
9805 E 83rd Ter,"Raytown, MO",FOR SALE BY OWNER,"$210,000",5bd,3ba,"4,199 sqft"
10800 Lakeview Rd,"Raytown, MO",OLD,"$222,500",4bd,2ba,"2,200 sqft"
5308 Willow Ave,"Raytown, MO",NEW,"$95,000",3bd,1ba,"1,184 sqft"
855 NE 65th Ter,"Gladstone, MO",OLD,"$235,000",3bd,2ba,"1,486 sqft"
804 Main St,"Parkville, MO",OLD,"$359,000",4bd,3ba,"3,657 sqft"
5728 Maywood Ave,"Raytown, MO",OLD,"$163,400",4bd,2ba,"2,748 sqft"
6645 NW Monticello Dr,"Kansas City, MO",OLD,"$369,900",4bd,3ba,"2,278 sqft"
5532 Crescent Ave,"Raytown, MO",OLD,"$144,900",2bd,2ba,"1,400 sqft"
4703 NW Gower Ave,"Riverside, MO",FOR SALE BY OWNER,"$299,995",3bd,3ba,"3,527 sqft"
6533 Ridge Rd,"Parkville, MO",OLD,"$2,294,500",4bd,6ba,"8,592 sqft"
7644 N Wabash Ave,"Gladstone, MO",OLD,"$205,000",3bd,2ba,"1,400 sqft"
7045 NW Scenic Dr,"Parkville, MO",OLD,"$1,250,000",5bd,5ba,"6,373 sqft"
6117 Persimmons Ct,"Kansas City, MO",OLD,"$528,000",4bd,5ba,"4,742 sqft"
4151 NW Palisades Poin,"Riverside, MO",OLD,"$699,900",4bd,4ba,"3,100 sqft"
11520 E 63rd St,"Raytown, MO",OLD,"$134,000",4bd,2ba,"1,408 sqft"
7511 NW Prairie View Rd,"Kansas City, MO",OLD,"$194,750",3bd,2ba,"1,760 sqft"
822 E 23rd Ave,"North Kansas City, MO",FOR SALE BY OWNER,"$199,000",3bd,2ba,"1,500 sqft"
7200 Raytown Rd,"Raytown, MO",OLD,"$114,900",3bd,1ba,"1,200 sqft"
8301 Spring Valley Rd,"Raytown, MO",NEW,"$145,000",3bd,1ba,"1,141 sqft"
8004 Clearwater Dr,"Parkville, MO",OLD,"$539,000",5bd,4ba,"3,901 sqft"
10430 NW River View Pt,"Parkville, MO",OLD,"$1,250,000",5bd,6ba,"7,248 sqft"
5905 N Garfield Ave,"Gladstone, MO",OLD,"$164,950",3bd,1ba,"1,775 sqft"
8310 NW Eastside Dr,"Weatherby Lake, MO",OLD,"$525,000",4bd,5ba,"4,835 sqft"
5315 Hardy Ave,"Raytown, MO",OLD,"$97,990",2bd,1ba,720 sqft
11604 E 75th St,"Raytown, MO",NEWFOR SALE BY OWNER,"$128,000",3bd,2ba,864 sqft
1708 NE 68th Ter,"Gladstone, MO",OLD,"$220,000",5bd,3ba,"2,233 sqft"
8032 Clearwater Dr,"Parkville, MO",OLD,"$659,900",4bd,5ba,"5,693 sqft"
8475 NW 74th St,"Kansas City, MO",OLD,"$389,900",4bd,3ba,"2,500 sqft"
704 White Oak Ln,"Kansas City, MO",OLD,"$499,000",4bd,5ba,"5,210 sqft"
9009 E 85th Ter,"Raytown, MO",NEW,"$100,000",3bd,2ba,"1,300 sqft"
7490 NW Damon Dr,"Parkville, MO",OLD,"$415,000",4bd,3ba,"3,402 sqft"
3213 NE 70th Ter,"Gladstone, MO",OLD,"$330,000",4bd,3ba,"2,381 sqft"
1141 NW South Shore Dr,"Lake Waukomis, MO",OLD,"$525,000",3bd,3ba,"2,308 sqft"
8405 Marsh Ave,"Raytown, MO",OLD,"$165,000",3bd,2ba,"1,526 sqft"
5759 Russet Rd,"Kansas City, MO",OLD,"$400,500",3bd,2ba,"1,765 sqft"
9608 E 65th Ter,"Raytown, MO",OLD,"$168,000",3bd,3ba,"1,340 sqft"
7495 NW Chambers Ct,"Kansas City, MO","OPEN SAT, 11-5PM","$379,950",4bd,3ba,"2,329 sqft"
8002 NW Pleasant Ford Rd,"Weatherby Lake, MO",OLD,"$949,000",2bd,4ba,"2,285 sqft"
7509 Appleton Ave,"Raytown, MO",OLD,"$110,000",3bd,1ba,"1,371 sqft"
6103 NW Osage Dr,"Platte Woods, MO",OLD,"$230,000",3bd,2ba,"1,302 sqft"
6708 Ralston Ave,"Raytown, MO",OLD,"$199,900",3bd,2ba,"1,698 sqft"
12312 N Virginia Ave,"Kansas City, MO",OLD,"$329,900",4bd,3ba,"2,321 sqft"
9703 NW 77th Ter,"Kansas City, MO",FOR SALE BY OWNER,"$900,000",4bd,4ba,"5,839 sqft"
8120 Spring Valley Rd,"Raytown, MO",OLD,"$68,000",3bd,1ba,"1,602 sqft"
107 NW North Shore Dr,"Lake Waukomis, MO",OLD,"$475,000",2bd,2ba,"2,336 sqft"
5420 NW Houston Dr,"Kansas City, MO",OLD,"$163,000",3bd,2ba,"1,390 sqft"
8035 NW Mastern Ave,"Parkville, MO",OLD,"$845,000",5bd,5ba,"5,470 sqft"
2300 NE Shoal Creek Pkwy,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$584,950",4bd,3ba,"3,320 sqft"
7560 NW Moore Dr,"Parkville, MO",OLD,"$525,000",5bd,5ba,"3,300 sqft"
10480 Chateau Ln,"Parkville, MO",OLD,"$634,950",4bd,6ba,"4,912 sqft"
14665 N Thousand Oaks Pl,"Kansas City, MO",OLD,"$497,900",4bd,3ba,"2,835 sqft"
7504 NW Tower Court Dr,"Kansas City, MO",FOR SALE BY OWNER,"$295,000",5bd,4ba,"2,162 sqft"
7475 NW Douglas Ct,"Kansas City, MO",OLD,"$444,900",4bd,3ba,"2,759 sqft"
9274 Lime Stone Rd,"Parkville, MO",OLD,"$444,900",4bd,3ba,"2,510 sqft"
6605 NW 106th St,"Kansas City, MO",OLD,"$459,950",4bd,4ba,"2,427 sqft"
2070 Palisades Dr,"Riverside, MO",OLD,"$644,691",4bd,4ba,"3,443 sqft"
14814 Thousand Oaks Pl,"Kansas City, MO",OLD,"$589,000",4bd,4ba,"3,657 sqft"
2450 NW Riverview Dr,"Riverside, MO",OLD,"$678,629",4bd,4ba,"3,030 sqft"
6635 NW Hickory Dr,"Parkville, MO",FOR SALE BY OWNER,"$549,950",4bd,5ba,"4,018 sqft"
7310 Elm Ave,"Raytown, MO",FOR SALE BY OWNER,"$115,000",3bd,2ba,864 sqft
5749 Russet Rd,"Kansas City, MO",OLD,"$549,900",4bd,4ba,"3,205 sqft"
2330 NW Riverview Dr,"Riverside, MO",OLD,"$710,672",4bd,4ba,"3,456 sqft"
14646 Thousand Oaks Pl,"Kansas City, MO",OLD,"$469,950",4bd,4ba,"2,500 sqft"
Chapel Ridge Villas,"Kansas City, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$360,700+",4bd,3ba,"2,329 sqft"
5769 Russet Rd,"Kansas City, MO",OLD,"$545,950",4bd,3ba,"3,328 sqft"
8495 NW 74th St,"Kansas City, MO","OPEN MON, 12-5PM","$379,900",4bd,3ba,"2,500 sqft"
5845 Hunter Ct,"Raytown, MO",OLD,"$142,900",2bd,2ba,"1,126 sqft"
8650 NW 74th St,"Kansas City, MO",OLD,"$379,900",4bd,3ba,"2,500 sqft"
8610 NW 74th St,"Kansas City, MO",OLD,"$384,900",4bd,3ba,"2,500 sqft"
7450 NW Chambers Ct,"Kansas City, MO","OPEN SAT, 11-5PM","$423,950",4bd,3ba,"2,431 sqft"
7460 NW Chambers Ct,"Kansas City, MO","OPEN SAT, 11-5PM","$414,950",4bd,3ba,"2,329 sqft"
7365 N Lamar Dr,"Kansas City, MO",OLD,"$429,950",4bd,3ba,"2,500 sqft"
5779 Russet Rd,"Kansas City, MO",OLD,"$470,900",4bd,4ba,"2,592 sqft"
14766 Thousand Oaks Pl,"Kansas City, MO",OLD,"$544,900",4bd,3ba,"3,171 sqft"
7450 NW Douglas Ct,"Kansas City, MO",OLD,"$440,685",4bd,3ba,"2,419 sqft"
14838 Thousand Oaks Pl,"Kansas City, MO",OLD,"$559,950",4bd,4ba,"3,200 sqft"
4895 NW Ridgewood Ct,"Kansas City, MO",OLD,"$434,950",3bd,3ba,"2,609 sqft"
5103 NW Ridgewood Dr,"Kansas City, MO",OLD,"$212,500",3bd,2ba,"1,525 sqft"
Chapel Ridge Villas,"Kansas City, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$383,600+",4bd,3ba,"2,137 sqft"
7470 NW Chambers Ct,"Kansas City, MO","OPEN SAT, 11-5PM","$399,950",3bd,2ba,"1,728 sqft"
9059 E 68th Ter,"Raytown, MO",OLD,"$139,950",2bd,1ba,"1,706 sqft"
3112 Howell St,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$329,950",3bd,4ba,"2,000 sqft"
9700 E 84th St,"Raytown, MO",FOR SALE BY OWNER,"$350,000",3bd,4ba,"3,220 sqft"
6760 Lane Ave,"Kansas City, MO",OLD,"$328,900",3bd,2ba,"1,619 sqft"
6825 Lane Ave,"Kansas City, MO",OLD,"$328,900",3bd,2ba,"1,619 sqft"
6697 Lane Ave,"Kansas City, MO",OLD,"$328,900",3bd,2ba,"1,619 sqft"
6776 Lane Ave,"Kansas City, MO",OLD,"$328,900",3bd,2ba,"1,806 sqft"
3114 Howell St,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$339,950",3bd,4ba,"2,000 sqft"
6768 Lane Ave,"Kansas City, MO",OLD,"$339,000",3bd,3ba,"1,806 sqft"
6744 Lane Ave,"Kansas City, MO",OLD,"$339,000",3bd,3ba,"1,806 sqft"
3110 Howell St,"Kansas City, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$334,950",3bd,4ba,"2,000 sqft"
6817 Lane Ave,"Kansas City, MO",OLD,"$328,900",3bd,2ba,"1,619 sqft"
7313 Hardy Ave,"Raytown, MO",OLD,"$175,000",3bd,2ba,"1,696 sqft"
6752 Lane Ave,"Kansas City, MO",OLD,"$339,000",3bd,3ba,"1,806 sqft"
6705 Lane Ave,"Kansas City, MO",OLD,"$339,000",3bd,3ba,"1,806 sqft"
11216 E 64th St,"Raytown, MO",OLD,"$280,000",5bd,3ba,"3,602 sqft"
8707 E 83rd St,"Raytown, MO",NEW,"$192,000",4bd,3ba,"2,976 sqft"
7805 Elm Ave,"Raytown, MO",NEW,"$115,000",2bd,1ba,951 sqft
6109 Manning Ave,"Raytown, MO",NEW,"$185,000",3bd,3ba,"2,824 sqft"
100 E Main St,"Kearney, MO",OLD,"$169,000",3bd,2ba,"2,050 sqft"
5337 NE Northgate Xing,"Lees Summit, MO",OLD,"$520,000",4bd,5ba,"5,358 sqft"
440 Circle Dr,"Liberty, MO",NEW,"$240,000",3bd,3ba,"2,072 sqft"
1612 S Harris Ave,"Bristol, Independence, MO",NEW,"$140,000",3bd,2ba,840 sqft
1510 S Kings Hwy,"Hanthorn, Independence, MO",NEW,"$225,000",4bd,2ba,"1,476 sqft"
124 High St,"Liberty, MO",OLD,"$209,950",4bd,2ba,"2,318 sqft"
304 N Peck Dr,"Randall, Independence, MO",NEW,"$154,900",4bd,2ba,"1,280 sqft"
15412 E 36th Ter,"Sycamore, Independence, MO","NEWOPEN SUN, 1-3PM","$150,000",3bd,2ba,"1,416 sqft"
708 NE Darwin St,"Lees Summit, MO",OLD,"$239,900",4bd,3ba,"1,952 sqft"
11507 E 15th St S,"Procter, Independence, MO",NEW,"$89,000",2bd,2ba,850 sqft
323 N River Blvd,"McCoy, Independence, MO",NEW,"$148,900",3bd,2ba,"1,250 sqft"
1240 SW Crossing Dr,"Lees Summit, MO",NEW,"$349,900",4bd,3ba,"2,261 sqft"
