,region,new,price,bedrm,bth,sqft
1700 W Tenafly Dr,"Columbia, MO",FOR SALE BY OWNER,"$769,900",4bd,4ba,"3,839 sqft"
3155 S Bobcat Ct,"Columbia, MO",OLD,"$599,900",5bd,3ba,"4,690 sqft"
2810 Blue Ridge Rd,"Columbia, MO",OLD,"$104,000",3bd,2ba,"1,576 sqft"
5280 W Route K,"Columbia, MO",OLD,"$469,900",3bd,3ba,"3,690 sqft"
2007 Hazelwood Dr,"Columbia, MO",OLD,"$115,000",3bd,2ba,"1,740 sqft"
5004 Longbow Dr,"Columbia, MO",NEW,"$315,000",3bd,2ba,"1,700 sqft"
308 E Hackberry Blvd,"Columbia, MO",OLD,"$149,900",4bd,2ba,"1,913 sqft"
4200 Langham Dr,"Columbia, MO",OLD,"$250,000",5bd,3ba,"3,133 sqft"
4804 Forum Blvd,"Columbia, MO",FOR SALE BY OWNER,"$375,200",4bd,3ba,"3,715 sqft"
Lot 501 W Snapdragon Dr,"Columbia, MO",OLD,"$359,900",5bd,3ba,"2,610 sqft"
2201 Windstone Dr,"Columbia, MO",OLD,"$194,900",3bd,3ba,"1,436 sqft"
712 Eastlake Dr,"Columbia, MO",OLD,"$319,000",4bd,3ba,"3,133 sqft"
2600 Bellingham Dr,"Columbia, MO",OLD,"$525,000",5bd,4ba,"4,210 sqft"
3511 Deer Run Dr,"Columbia, MO",OLD,"$225,000",4bd,3ba,"2,092 sqft"
3808 Forester Dr,"Columbia, MO","OPEN SUN, 1:30-3PM","$275,900",3bd,2ba,"1,672 sqft"
2204 Holly Ave,"Columbia, MO",OLD,"$147,900",3bd,3ba,"1,266 sqft"
6408 E Saint Charles Rd,"Columbia, MO",OLD,"$139,900",3bd,2ba,"1,598 sqft"
7970 N Glen Meadow Dr,"Columbia, MO",OLD,"$163,900",3bd,3ba,"1,394 sqft"
8306 W Southeast Ct,"Columbia, MO",OLD,"$137,000",3bd,1ba,"1,248 sqft"
8 S Purdy Ln,"Columbia, MO",OLD,"$499,900",5bd,5ba,"3,143 sqft"
1205 Larail Dr,"Columbia, MO",OLD,"$400,000",5bd,4ba,"3,527 sqft"
4600 Winterbrook Ct,"Columbia, MO",OLD,"$850,000",6bd,5ba,"5,808 sqft"
105 E Hubbell Dr,"Columbia, MO",OLD,"$199,900",5bd,2ba,"2,080 sqft"
3606 Evergreen Ln,"Woodrige, Columbia, MO",OLD,"$173,000",3bd,3ba,"1,872 sqft"
Lot 452 Regal Way,"Columbia, MO",OLD,"$509,900",5bd,3ba,"3,417 sqft"
306 W Worley St,"Columbia, MO",OLD,"$104,900",3bd,1ba,970 sqft
