,region,new,price,bedrm,bth,sqft,crime,typ_val,val_pct,typ_sqft,sqft_pct,eschl,mschl,hschl,bsmnt,gas,forsdair,elctric,solar,dayonmark,yrbuilt,update,stories,n_rooms,garage,pp_sqft,roof,floors,exterior,lot_sz,prk_spc,parking,hoa_fee,sec_sys,pool,list_cnt,assess
1004 S Roanoke Ave,Springfield,0,248000.0,4,2,3004,1,156720.0,58.0,109.0,-24.0,1,1,1,0,1,1,0,0,78.0,1922.0,0,2,6,1,83.0,1,2,6,3004.0,1.0,3,0,0,0,6,0
1004 Tempo Dr,Saint Louis,0,219900.0,3,2,1176,1,257082.0,-14.0,155.0,21.0,1,1,1,0,1,1,0,0,172.0,1961.0,0,1,5,1,187.0,1,2,7,10018.0,2.0,3,0,0,0,2,0
10050 Earl Dr,Saint Louis,1,64900.0,2,1,827,5,47819.0,36.0,46.0,71.0,0,0,1,1,0,1,1,0,87.0,1953.0,0,1,5,0,78.0,3,0,7,6490.0,1.0,0,0,0,0,1,0
1006 N Prospect Ave,Springfield,0,72500.0,2,3,828,1,129720.0,-44.0,125.0,-30.0,1,2,1,0,1,1,0,0,133.0,1889.0,1,1,4,1,88.0,1,0,7,9583.0,1.0,3,0,0,0,16,0
1008 NE 104th Ter,Kansas City,1,210000.0,3,2,1508,1,243914.0,-14.0,146.0,-5.0,1,1,1,1,1,0,0,0,12.0,1982.0,0,1,8,1,139.0,1,7,8,9148.0,2.0,1,0,0,0,1,0
1008 NE 104th Ter,Kansas City,1,210000.0,3,2,1508,1,243914.0,-14.0,146.0,-5.0,1,1,1,1,1,0,0,0,14.0,1982.0,0,1,8,1,139.0,1,7,8,9148.0,2.0,1,0,0,0,1,0
1008 NE 43rd Ter,Kansas City,0,99900.0,2,1,772,5,181427.0,-45.0,248.0,-48.0,1,1,1,0,1,1,0,0,141.0,1970.0,0,1,6,1,129.0,1,2,8,6970.0,1.0,3,0,0,0,15,0
1008 NE 44th Ter,Kansas City,0,139900.0,3,1,936,5,181427.0,-23.0,248.0,-40.0,1,1,1,1,1,1,0,0,27.0,1950.0,0,1,5,1,149.0,1,0,7,8698.0,3.0,3,0,0,0,3,0
101 E Pocahontas Ln,Kansas City,1,174900.0,2,1,768,1,227344.0,-23.0,167.0,36.0,1,1,1,1,1,1,0,0,6.0,1940.0,0,1,3,1,228.0,1,2,8,4356.0,1.0,1,2,0,0,4,0
101 W 125th Ter,Kansas City,0,474900.0,3,3,3448,1,318527.0,49.0,148.0,-7.0,1,1,1,1,1,1,0,0,79.0,1982.0,0,2,6,1,138.0,1,2,6,3448.0,2.0,3,6,0,0,8,0
1010 E 33rd St,Kansas City,0,435000.0,5,5,3296,1,138376.0,214.0,99.0,33.0,1,1,1,1,1,1,0,0,155.0,1900.0,1,3,10,1,132.0,1,6,0,7405.0,2.0,3,0,0,0,9,0
1010 Saint Charles St #501,Saint Louis,0,178900.0,2,2,1687,5,200533.0,-11.0,136.0,-22.0,1,1,1,1,0,1,1,0,176.0,1914.0,1,3,4,0,106.0,1,2,0,1687.0,1.0,0,549,0,0,7,0
10109 NE 101st St,Kansas City,0,399900.0,4,4,2785,1,306678.0,30.0,220.0,-35.0,1,0,1,1,0,1,1,0,41.0,2006.0,0,1,6,1,144.0,1,0,6,2785.0,3.0,3,28,0,1,3,0
10122 Conway Rd,Saint Louis,1,329000.0,2,2,1537,1,915801.0,-64.0,275.0,-22.0,2,1,1,1,1,1,0,0,8.0,1953.0,0,1,7,1,214.0,1,2,5,1537.0,2.0,3,0,0,0,6,0
10132 Elba Ln,Saint Louis,1,125900.0,3,3,1041,1,62719.0,101.0,64.0,89.0,0,0,1,0,1,1,0,0,4.0,1966.0,0,1,5,1,121.0,1,2,5,7492.0,2.0,3,0,0,0,10,0
10135 Fieldcrest Ln,Saint Louis,0,1195000.0,4,4,3311,1,915801.0,30.0,275.0,31.0,2,1,1,1,1,1,0,0,53.0,2020.0,0,1,10,1,361.0,0,2,7,3311.0,3.0,3,12,0,0,1,0
10138 Glenfield Ter,Saint Louis,0,339900.0,4,3,2228,1,251733.0,35.0,173.0,-12.0,1,1,1,0,1,1,0,0,64.0,1962.0,0,1,9,1,153.0,1,2,0,10672.0,2.0,3,0,0,0,8,0
1014 Agnes Ave,Kansas City,0,79961.0,3,2,1620,3,49441.0,62.0,45.0,10.0,1,1,1,1,1,1,0,0,9.0,1916.0,0,1,5,0,49.0,1,5,8,3663.0,2.2,0,0,0,0,6,0
1015 SE 3rd Ter,Lees Summit,1,230000.0,3,3,2050,1,216056.0,6.0,154.0,-27.0,1,1,1,1,1,1,0,0,3.0,1977.0,0,2,6,1,112.0,1,0,8,2050.0,2.0,1,0,0,0,1,0
10152 Shapfield Ln,Saint Louis,0,219900.0,2,4,1315,1,182028.0,21.0,157.0,7.0,1,1,1,0,1,1,0,0,72.0,2001.0,0,1,5,1,167.0,1,0,7,5227.0,2.0,3,213,0,0,11,0
1016 E Pacific St,Springfield,0,108000.0,3,2,1117,4,117917.0,-8.0,93.0,4.0,1,2,1,0,1,1,0,0,25.0,1897.0,0,1,4,1,97.0,1,0,7,1117.0,2.2,3,0,1,0,4,0
10168 Baron Dr,Saint Louis,1,26500.0,2,1,768,2,47819.0,-45.0,46.0,-25.0,0,0,1,1,0,1,1,0,13.0,1971.0,0,1,4,0,35.0,0,3,3,4791.0,2.0,0,0,0,0,16,1
1017 Lafayette Ave,Saint Louis,0,285000.0,3,2,2512,1,254750.0,12.0,142.0,-20.0,1,1,1,1,1,1,0,0,180.0,1890.0,1,2,5,1,113.0,1,2,0,4443.0,2.0,3,0,0,0,2,0
1017 W Florida St,Springfield,0,55000.0,2,1,844,3,117917.0,-53.0,93.0,-30.0,1,1,1,1,1,1,0,0,26.0,1937.0,0,1,4,0,65.0,1,7,7,7405.0,2.2,0,0,0,0,1,0
