,region,new,price,bedrm,bth,sqft,crime,typ_val,val_pct,typ_sqft,sqft_pct,eschl,mschl,hschl,bsmnt,gas,forsdair,elctric,solar,dayonmark,yrbuilt,update,stories,n_rooms,garage,pp_sqft,roof,floors,exterior,lot_sz,prk_spc,parking,hoa_fee,sec_sys,pool,list_cnt,assess
1336 N Prospect Ave,Springfield,0,58000.0,2,1,1012,3,129720.0,-55.0,125.0,-54.0,1,2,1,0,1,1,0,0,46.0,1925.0,0,1,5,0,57.0,1,7,7,9583.0,2.2,2,0,0,0,5,0
1337 S Marseilles Ave,Springfield,0,182000.0,3,2,1385,1,169545.0,7.0,112.0,17.0,1,1,1,0,1,1,0,0,11.0,2019.0,0,1,2,1,131.0,1,0,7,6969.0,3.0,3,27,0,0,4,0
1343 S Mulberry Ave,Springfield,0,222900.0,3,2,1515,1,129720.0,72.0,125.0,18.0,1,1,1,0,1,1,0,0,54.0,2020.0,0,1,5,1,147.0,1,7,5,10018.0,3.0,3,26,0,0,1,0
1344 Redwood View Ct,Saint Louis,0,290000.0,2,2,1392,1,257082.0,13.0,155.0,34.0,1,1,1,1,1,1,0,0,31.0,1999.0,0,1,7,1,208.0,0,2,7,4356.0,2.0,3,221,0,0,6,0
1344 S Canton Ave,Springfield,0,260000.0,3,2,1633,1,129720.0,100.0,125.0,27.0,0,0,1,0,0,0,1,0,10.0,2020.0,0,1,5,0,159.0,1,7,8,10454.0,2.2,0,0,0,0,1,0
1348 S Strasbourg Ave,Springfield,0,263000.0,4,3,1701,1,129720.0,103.0,125.0,24.0,0,0,1,0,0,1,1,0,10.0,2020.0,0,1,7,0,155.0,1,7,5,10018.0,2.2,0,0,0,0,1,0
135 N Elmwood Ave,Kansas City,0,100000.0,3,3,1456,4,84972.0,18.0,72.0,-5.0,1,1,1,1,1,1,0,0,51.0,1912.0,0,2,6,0,69.0,1,0,5,4356.0,2.2,0,0,0,0,6,0
1351 S Mulberry Ave,Springfield,0,227900.0,4,2,1691,1,129720.0,76.0,125.0,8.0,1,1,1,0,1,1,0,0,62.0,2020.0,0,1,6,1,135.0,1,7,5,10018.0,3.0,3,26,0,0,1,0
1351 Samoa Dr,Saint Louis,1,215000.0,3,2,1005,1,251733.0,-15.0,173.0,24.0,1,1,1,1,1,1,0,0,4.0,1955.0,1,1,8,0,214.0,1,7,7,7405.0,1.0,0,0,0,0,8,0
13538 Paddock Ridge Ct,Saint Louis,0,324900.0,5,4,2789,1,146703.0,121.0,105.0,11.0,1,1,1,0,1,1,0,0,21.0,1990.0,0,2,11,1,116.0,1,2,7,2789.0,3.0,3,12,0,0,3,0
1355 S Black Locust Pl,Springfield,1,315000.0,5,3,4200,1,313316.0,1.0,120.0,-38.0,1,1,1,1,1,1,0,0,133.0,1978.0,0,2,11,1,75.0,1,7,7,4200.0,3.0,3,0,0,1,6,0
1356 S Kimbrough Ave,Springfield,1,159900.0,2,2,1170,1,156720.0,2.0,109.0,25.0,1,1,1,1,1,1,0,0,90.0,1940.0,0,2,5,1,137.0,1,2,3,6926.0,2.0,3,0,0,0,2,0
13600 N Robinson Rd,Columbia,0,350000.0,3,2,2039,1,211046.0,66.0,118.0,45.0,2,1,1,0,0,1,0,1,8.0,1999.0,0,2,6,1,172.0,1,0,7,10.0,2.2,3,0,0,0,9,0
1363 S Strasbourg Ave,Springfield,0,261000.0,3,2,1640,1,129720.0,101.0,125.0,27.0,0,0,1,0,0,1,1,0,10.0,2020.0,0,1,5,0,159.0,1,7,5,10890.0,2.2,0,0,0,0,1,0
1364 S Strasbourg Ave,Springfield,0,265000.0,4,2,1782,1,129720.0,104.0,125.0,19.0,0,0,1,0,0,1,1,0,10.0,2020.0,0,1,6,0,149.0,1,7,5,10018.0,2.2,0,0,0,0,1,0
137 Elmwood Ave,Kansas City,0,229000.0,3,3,2814,4,84972.0,168.0,72.0,12.0,1,1,1,1,1,1,0,0,74.0,1910.0,0,2,6,0,81.0,1,0,5,5440.0,2.2,0,0,0,0,8,0
1371 E Blaine St,Springfield,0,35000.0,2,1,558,2,117917.0,-70.0,93.0,-33.0,1,2,1,0,1,1,0,0,85.0,1900.0,0,1,4,0,63.0,0,2,7,6969.0,2.2,0,0,0,0,1,0
13714 Belcrest Ct,Saint Louis,0,2390000.0,5,7,5500,1,664548.0,260.0,228.0,91.0,1,1,1,0,1,1,0,0,42.0,2001.0,0,1,12,1,435.0,1,7,5,1.0,4.0,3,0,0,0,3,0
13725 N Frink Rd,Columbia,1,306000.0,4,2,1633,1,211046.0,45.0,118.0,59.0,2,1,1,0,0,0,0,0,11.0,2012.0,0,1,6,1,187.0,1,0,7,5.0,2.2,3,0,0,0,3,0
1376 White Orchard Ln,Saint Louis,0,365000.0,4,3,2029,1,257082.0,42.0,155.0,16.0,1,1,1,1,1,1,0,0,73.0,1965.0,0,1,9,1,180.0,1,2,0,10693.0,2.0,3,0,0,0,4,0
138 Ben Nevis Rd,Saint Louis,0,50000.0,3,2,873,1,62719.0,-20.0,64.0,-11.0,0,0,1,0,1,1,0,0,180.0,1954.0,0,1,6,0,57.0,1,2,7,6316.0,2.0,2,0,0,0,8,0
138 NE Wood Glen Ln,Lees Summit,0,450000.0,5,4,4551,1,334330.0,35.0,146.0,-32.0,1,1,1,1,1,1,0,0,66.0,1980.0,1,3,9,1,99.0,1,6,8,4551.0,2.0,3,150,0,0,5,0
1380 N Cooper Blvd,Springfield,0,389900.0,3,3,3309,1,129720.0,201.0,125.0,-6.0,1,1,1,0,1,1,0,0,106.0,1994.0,0,2,6,1,118.0,3,7,0,3309.0,2.0,3,200,0,0,9,0
13810 Invicta Dr,Saint Louis,0,214900.0,3,2,1912,1,206331.0,4.0,111.0,1.0,1,1,1,1,1,1,0,0,43.0,1965.0,1,1,7,1,112.0,0,2,0,1912.0,2.0,3,0,0,0,1,0
1383 S Jones Mill Ln,Springfield,0,1150000.0,3,4,3241,1,313316.0,267.0,120.0,196.0,1,1,1,0,1,1,0,0,31.0,1989.0,0,1,6,1,355.0,3,2,5,3241.0,2.2,2,0,1,1,8,0
1388 W Gaslight Dr,Springfield,1,437587.0,5,2,3514,2,241106.0,81.0,117.0,6.0,1,1,1,0,1,1,0,0,1.0,2020.0,0,1,7,1,125.0,1,7,2,3514.0,3.0,3,42,0,0,0,0
139 Drury Ave,Kansas City,0,93500.0,2,1,2088,5,84972.0,10.0,72.0,-38.0,1,1,1,1,1,1,0,0,61.0,1915.0,0,2,3,0,45.0,1,0,5,4356.0,2.2,0,0,0,0,5,0
14 Ladue Rdg,Saint Louis,0,1699000.0,6,5,4627,1,915801.0,86.0,275.0,34.0,2,1,1,0,1,1,0,0,16.0,1953.0,0,1,5,1,367.0,1,2,1,4627.0,3.0,3,0,0,0,1,0
1400 Hunt Ct,Columbia,0,159900.0,3,1,1056,3,254792.0,-37.0,128.0,18.0,1,1,1,0,1,1,0,0,22.0,1952.0,0,1,6,0,151.0,1,7,7,9718.0,2.2,2,0,0,0,1,0
1400 Shannon Pl,Columbia,0,170000.0,3,2,1932,1,254792.0,-33.0,128.0,-31.0,1,1,1,1,1,1,0,0,83.0,1962.0,0,2,8,1,88.0,1,0,7,10454.0,2.2,3,0,0,0,3,0
1401 S Fremont Ave,Springfield,0,349900.0,4,3,4107,1,186454.0,88.0,112.0,-24.0,1,1,1,1,1,1,0,0,50.0,1924.0,1,2,12,1,85.0,0,0,8,4107.0,2.2,3,0,0,0,6,0
1401 S Huntington Dr,Kansas City,0,235000.0,3,3,2706,1,268475.0,-12.0,146.0,-41.0,1,1,1,1,1,1,0,0,29.0,2003.0,0,2,6,1,87.0,1,2,8,8398.0,2.0,3,0,0,0,2,0
1401 W Worley St,Columbia,1,120000.0,2,1,758,3,254792.0,-53.0,128.0,24.0,1,1,1,0,1,1,0,0,2.0,1948.0,0,1,5,0,158.0,1,0,7,7609.0,2.2,0,0,0,0,9,0
1404 E 28th St,Kansas City,1,225000.0,3,2,1480,2,138376.0,63.0,99.0,54.0,1,1,1,1,1,1,0,0,2.0,1913.0,0,2,9,0,152.0,1,2,6,3049.0,2.2,3,0,0,0,1,0
1407 E Locust St,Springfield,0,73500.0,3,2,1110,2,117917.0,-38.0,93.0,-29.0,1,2,1,0,1,1,0,0,72.0,1951.0,0,1,6,1,66.0,1,0,7,9583.0,1.0,3,0,0,0,7,0
1408 Sulphur Ave,Saint Louis,0,68800.0,1,1,813,1,250488.0,-73.0,156.0,-46.0,1,1,1,1,1,1,0,0,152.0,1892.0,1,1,2,0,85.0,1,2,7,4356.0,2.2,0,0,0,0,18,0
1409 SW Georgetown Dr,Lees Summit,1,449950.0,5,4,2668,2,337199.0,33.0,150.0,12.0,1,1,1,0,0,0,0,0,1.0,2020.0,0,2,9,1,169.0,1,0,8,2668.0,3.0,3,0,0,0,0,0
1409 Spring Snow Dr,Saint Louis,0,689900.0,2,2,2080,1,664548.0,4.0,228.0,45.0,2,1,1,0,1,1,0,0,148.0,2001.0,0,1,4,1,332.0,1,2,5,2080.0,2.0,3,600,0,0,1,0
1410 SW Georgetown Dr,Lees Summit,1,450000.0,5,4,2584,2,337199.0,33.0,150.0,16.0,1,1,1,0,1,0,0,0,1.0,2020.0,0,2,9,1,174.0,1,2,6,2584.0,3.0,3,0,0,0,0,0
1411 Warson Oaks Ct,Saint Louis,0,695000.0,4,4,2739,1,375401.0,85.0,218.0,16.0,1,2,1,0,1,1,0,0,39.0,1989.0,0,2,9,1,254.0,1,2,0,2739.0,2.0,3,0,0,0,1,0
1413 SW Georgetown Dr,Lees Summit,0,475000.0,5,4,2824,1,337199.0,41.0,150.0,12.0,1,1,1,0,1,0,0,0,85.0,2001.0,0,2,9,1,168.0,1,6,6,2824.0,3.0,3,0,1,0,1,0
1413 Spring Snow Dr,Saint Louis,0,694841.0,1,2,2080,1,664548.0,5.0,228.0,47.0,2,1,1,0,1,1,0,0,148.0,2001.0,0,1,3,1,334.0,1,2,5,2080.0,2.0,3,600,0,0,1,0
1415 E University St,Springfield,0,178000.0,3,2,1740,1,186454.0,-5.0,112.0,-9.0,1,1,1,1,1,1,0,0,28.0,1932.0,0,2,5,1,102.0,1,7,7,9583.0,2.2,3,0,0,0,8,0
1415 Union Blvd,Saint Louis,0,115000.0,5,2,2202,2,115000.0,11.217948717948717,2427.5345911949685,209865.0,1,0,1,1,1,1,0,0,42.0,1913.0,1,3,9,0,52.0,1,2,5,9060.0,2.2,0,0,0,0,14,0
1417 SW Georgetown Dr,Lees Summit,1,484950.0,5,4,2668,2,337199.0,44.0,150.0,21.0,1,1,1,0,0,0,0,0,1.0,1964.0,0,2,9,0,182.0,1,7,8,2668.0,3.0,0,0,0,0,0,0
142 Bailey Dr,Columbia,0,389900.0,3,2,1951,1,254792.0,53.0,128.0,56.0,1,1,1,0,1,1,0,0,180.0,2020.0,0,2,5,0,200.0,1,7,5,10454.0,2.2,0,0,0,0,3,0
142 Floralea Pl,Saint Louis,0,130000.0,2,1,768,1,475472.0,-73.0,179.0,-5.0,1,1,1,0,1,1,0,0,18.0,1958.0,0,1,4,0,169.0,1,2,8,6054.0,2.2,0,0,0,0,5,0
1420 Shepley Dr,Saint Louis,0,215000.0,3,4,2008,1,62719.0,243.0,64.0,67.0,0,0,1,0,1,1,0,0,22.0,1990.0,0,2,6,1,107.0,1,0,7,5.0,3.0,3,0,0,0,1,0
1421 SW Georgetown Dr,Lees Summit,0,504950.0,5,4,3026,1,337199.0,50.0,150.0,11.0,1,1,1,0,1,0,0,0,72.0,2001.0,0,2,9,1,167.0,1,2,5,3026.0,3.0,3,0,1,0,1,0
1429 Craig Rd,Saint Louis,0,775000.0,4,4,3911,1,257082.0,201.0,155.0,28.0,1,1,1,0,1,1,0,0,50.0,2001.0,0,2,8,1,198.0,1,2,7,3911.0,3.0,3,0,0,0,7,0
1433 Craig Rd,Saint Louis,0,875000.0,4,5,4652,1,257082.0,240.0,155.0,21.0,1,1,1,0,1,1,0,0,180.0,2020.0,0,2,8,1,188.0,0,0,7,4652.0,3.0,3,0,0,0,17,0
1435 N Broadway Ave,Springfield,0,169900.0,4,3,2436,2,129720.0,31.0,125.0,-44.0,1,2,1,0,1,1,0,0,47.0,1896.0,1,2,7,1,70.0,1,7,3,7840.0,1.0,3,0,1,0,6,0
1436 W 51st St,Kansas City,0,420000.0,3,2,2025,1,371379.0,13.0,246.0,-16.0,1,1,1,1,0,1,0,0,77.0,1923.0,0,2,5,1,207.0,1,6,6,5750.0,1.0,3,67,1,0,11,0
1436 W 51st St,Kansas City,0,420000.0,3,2,2025,1,371379.0,13.0,246.0,-16.0,1,1,1,1,0,1,0,0,79.0,1923.0,0,2,5,1,207.0,1,6,6,5750.0,1.0,3,67,1,0,11,0
1437 Broadlawns Ln,Saint Louis,1,114900.0,3,1,912,1,110535.0,4.0,86.0,46.0,1,1,1,0,1,1,0,0,6.0,1957.0,0,1,5,1,126.0,1,6,7,7753.0,2.0,3,0,0,0,10,0
1437 Colorado Ave,Kansas City,0,49900.0,2,1,672,4,49441.0,1.0,45.0,65.0,1,1,1,1,0,1,0,0,129.0,1922.0,0,1,3,0,74.0,1,0,8,2931.0,2.2,0,0,0,0,1,0
1441 E 21st Ave,Kansas City,0,215000.0,4,3,1680,1,181427.0,19.0,248.0,-48.0,1,1,1,1,1,1,0,0,14.0,1970.0,0,2,8,1,128.0,1,0,7,9583.0,2.0,1,0,0,0,1,0
1442 Criterion Ave,Saint Louis,1,55000.0,3,2,1020,1,110535.0,-50.0,86.0,-37.0,1,1,1,0,0,1,0,0,48.0,1960.0,0,1,5,1,54.0,1,3,8,7492.0,2.2,3,0,0,0,1,0
1442 E North St,Springfield,1,109900.0,2,1,962,1,117917.0,-7.0,93.0,23.0,1,1,1,1,1,0,0,0,34.0,1950.0,1,1,6,1,114.0,0,3,7,8712.0,2.0,3,0,0,0,6,0
1447 E Burntwood St,Springfield,0,275000.0,3,3,2413,1,117917.0,133.0,93.0,23.0,1,1,1,1,1,1,0,0,65.0,1988.0,0,2,10,1,114.0,1,7,7,2413.0,2.0,3,0,0,1,3,0
145 W 61st Ter,Kansas City,0,380000.0,3,3,2030,1,478911.0,-21.0,226.0,-17.0,2,1,1,1,1,1,0,0,76.0,1917.0,0,2,6,1,187.0,1,2,5,5140.0,1.0,3,0,0,0,16,0
145 W 61st Ter,Kansas City,0,380000.0,3,3,2030,1,478911.0,-21.0,226.0,-17.0,2,1,1,1,1,1,0,0,78.0,1917.0,0,2,6,1,187.0,1,2,5,5140.0,1.0,3,0,0,0,16,0
1451 N Texas Ave,Springfield,1,55000.0,2,1,784,1,129720.0,-58.0,125.0,-44.0,1,2,1,0,0,0,0,0,3.0,1900.0,0,1,4,0,70.0,1,2,0,6534.0,2.2,0,0,0,0,3,0
1453 Neffwold Ln,Saint Louis,1,849000.0,4,5,4230,1,375401.0,126.0,218.0,-8.0,1,1,1,1,1,1,0,0,140.0,1996.0,1,2,10,1,201.0,3,7,7,3.0,5.0,3,250,1,0,6,0
1455 W Gaslight Dr,Springfield,1,335924.0,4,1,2231,2,241106.0,39.0,117.0,29.0,1,1,1,0,1,1,0,0,1.0,2020.0,0,1,5,1,151.0,1,0,7,2231.0,3.0,3,42,0,0,0,0
146 Bailey Dr,Columbia,1,449900.0,4,3,2203,1,254792.0,77.0,128.0,60.0,1,1,1,0,1,1,0,0,7.0,1964.0,0,2,7,0,204.0,1,7,5,2203.0,2.2,0,0,0,0,1,0
1461 S Berkley Dr,Columbia,0,289900.0,3,3,1960,1,201679.0,44.0,119.0,24.0,1,1,1,0,1,1,0,0,12.0,2020.0,0,2,6,0,148.0,1,4,5,10349.0,2.2,0,0,0,0,1,0
14646 Thousand Oaks Pl,Kansas City,0,469950.0,4,4,2500,1,288959.0,63.0,157.0,20.0,1,2,1,0,1,1,0,0,64.0,2020.0,0,2,8,1,188.0,1,7,6,2500.0,3.0,3,66,0,0,1,0
14646 Thousand Oaks Pl,Kansas City,0,469950.0,4,4,2500,1,288959.0,63.0,157.0,20.0,1,2,1,0,1,1,0,0,64.0,2020.0,0,2,8,1,188.0,1,0,6,2500.0,3.0,3,66,0,0,1,0
14665 N Thousand Oaks Pl,Kansas City,0,497900.0,4,3,2835,1,288959.0,72.0,157.0,12.0,1,2,1,0,1,1,0,0,25.0,2001.0,0,1,7,1,176.0,1,2,6,2835.0,3.0,3,66,0,1,1,0
1468 S Ledgestone Ave,Springfield,0,274900.0,4,2,1846,1,156720.0,75.0,109.0,37.0,1,1,1,0,1,1,0,0,22.0,2019.0,0,1,6,1,149.0,1,7,5,8712.0,2.2,3,20,1,0,4,0
1468 S Ranch Dr,Springfield,0,398000.0,6,4,4879,1,313316.0,27.0,120.0,-32.0,1,1,1,1,1,1,0,0,71.0,1989.0,0,1,9,1,82.0,1,7,0,4879.0,3.0,3,37,0,0,4,0
1469 Twillman Ave,Saint Louis,1,109500.0,3,1,2000,2,110535.0,-1.0,86.0,-36.0,1,1,1,0,1,1,0,0,8.0,1940.0,0,1,5,1,55.0,1,2,5,2000.0,2.0,3,0,0,0,21,0
1473 N Lake Of The Woods Rd,Columbia,0,229900.0,4,2,2230,1,172020.0,34.0,108.0,-5.0,0,1,1,1,0,1,0,1,71.0,1999.0,0,2,8,1,103.0,1,7,7,2230.0,2.2,3,0,0,0,1,0
1476 Widefields Ln,Saint Louis,1,115000.0,3,1,912,1,110535.0,4.0,86.0,47.0,1,1,1,0,0,1,1,0,9.0,1961.0,0,1,5,0,126.0,1,2,5,10193.0,2.2,0,0,0,0,4,0
14766 Thousand Oaks Pl,Kansas City,0,544900.0,4,3,3171,1,288959.0,89.0,157.0,9.0,1,2,1,0,1,1,0,0,180.0,2001.0,0,1,7,1,172.0,1,0,5,3171.0,3.0,3,66,0,1,2,0
14814 Thousand Oaks Pl,Kansas City,0,589000.0,4,4,3657,1,288959.0,104.0,157.0,3.0,1,2,1,0,1,1,0,0,171.0,2020.0,0,1,8,1,161.0,1,2,5,3657.0,3.0,3,66,0,0,1,0
14838 Thousand Oaks Pl,Kansas City,0,559950.0,4,4,3200,1,288959.0,94.0,157.0,11.0,1,2,1,0,1,1,0,0,135.0,2001.0,0,1,8,1,175.0,1,0,5,3200.0,3.0,3,66,0,0,1,0
1484 S Farm Road 205,Springfield,0,1275000.0,6,6,7699,1,313316.0,307.0,120.0,38.0,1,1,1,1,1,0,0,1,176.0,1999.0,0,2,12,1,166.0,1,7,5,11.0,6.0,3,0,1,1,3,0
14870 Larry Ln,Columbia,1,268900.0,3,2,1836,1,211046.0,27.0,118.0,24.0,2,1,1,0,0,1,0,1,2.0,2000.0,0,2,5,1,146.0,1,7,7,1836.0,2.2,3,0,0,0,1,0
15 Chamblee Ln,Saint Louis,1,379000.0,4,3,2454,1,495319.0,-23.0,198.0,-22.0,1,1,1,1,0,1,0,0,8.0,1960.0,1,2,12,1,154.0,3,2,7,1.0,2.0,3,2,1,0,11,1
15 Chipper Rd,Saint Louis,0,1850000.0,5,6,7174,1,664548.0,178.0,228.0,13.0,2,1,1,0,1,1,0,0,28.0,1953.0,1,1,14,1,258.0,5,2,5,1.0,4.0,3,0,0,1,4,0
15 Sunset Ct,Saint Louis,0,97500.0,3,2,1235,1,50139.0,94.0,49.0,61.0,0,0,1,1,1,1,0,0,60.0,1926.0,0,1,7,0,79.0,5,7,5,8102.0,2.2,3,0,0,0,9,1
1500 Prather Ave,Saint Louis,0,129900.0,2,1,779,1,175482.0,11.217948717948717,166.0,-26.0,1,1,1,0,1,1,0,0,36.0,1978.0,1,1,3,0,167.0,1,6,8,4356.0,2.2,0,0,0,0,1,0
1503 Shannon Pl,Columbia,0,205000.0,4,3,2310,1,254792.0,-20.0,128.0,-31.0,1,1,1,1,1,1,0,0,15.0,1964.0,0,2,6,1,89.0,1,7,7,2310.0,2.2,3,0,0,0,1,0
1505 SW Georgetown Dr,Lees Summit,0,602971.0,6,5,3874,1,337199.0,79.0,150.0,4.0,1,1,1,0,1,0,0,0,180.0,2001.0,0,2,11,1,156.0,1,6,5,3874.0,3.0,3,0,1,0,3,0
1505 W Hovey St,Springfield,0,235300.0,5,1,1404,3,129720.0,81.0,125.0,34.0,1,2,1,0,0,0,0,0,149.0,1916.0,0,1,2,1,168.0,1,2,7,8276.0,1.0,3,0,0,0,16,0
15051 Holmes Rd,Kansas City,0,850000.0,4,5,6835,1,318527.0,167.0,148.0,-16.0,1,1,1,1,0,1,0,0,70.0,1977.0,0,2,9,1,124.0,3,6,0,4.0,2.0,3,0,0,1,2,0
1509 SW Georgetown Dr,Lees Summit,0,476950.0,5,4,2824,1,337199.0,41.0,150.0,13.0,1,1,1,0,1,0,0,0,50.0,2001.0,0,2,9,1,169.0,1,6,6,2824.0,3.0,3,0,1,0,1,0
1510 S Kings Hwy,Kansas City,1,225000.0,4,2,1476,1,161172.0,40.0,125.0,22.0,1,2,1,1,1,1,0,0,4.0,1912.0,0,2,6,1,152.0,1,2,8,1.0,2.0,3,0,0,0,1,0
1512 N Edgemont Cir,Springfield,0,379977.0,4,4,3527,1,129720.0,193.0,125.0,-14.0,0,0,1,0,1,1,0,0,57.0,1996.0,0,1,8,1,108.0,1,7,5,3527.0,3.0,3,49,0,0,2,0
1512 NE Ivory Ln,Lees Summit,1,262500.0,4,4,2666,1,259144.0,1.0,145.0,-32.0,1,1,1,1,1,1,0,0,76.0,1992.0,0,1,8,1,98.0,1,2,8,8633.0,2.0,3,0,1,0,5,0
1512 SW Arbor Valley Dr,Lees Summit,1,350000.0,3,2,1648,2,337199.0,4.0,150.0,42.0,1,1,0,0,0,0,0,0,1.0,2020.0,0,1,5,0,212.0,1,7,0,1648.0,3.0,0,0,0,0,0,0
1512 SW Georgetown Dr,Lees Summit,1,537950.0,5,4,3042,2,337199.0,60.0,150.0,18.0,1,1,1,0,1,0,0,0,1.0,1964.0,0,2,9,1,177.0,1,7,5,3042.0,3.0,3,0,0,0,0,0
1516 S Essex Rd,Springfield,0,284900.0,4,3,2582,1,313316.0,-9.0,120.0,-8.0,1,1,1,0,1,1,0,0,163.0,2019.0,0,1,2,1,110.0,1,2,5,2582.0,3.0,3,0,0,0,5,0
1523 SW Arbor Falls Dr,Lees Summit,1,489950.0,5,4,2707,2,337199.0,45.0,150.0,21.0,1,1,0,0,1,0,0,0,1.0,2020.0,0,2,9,1,181.0,1,7,8,2707.0,3.0,3,0,0,0,0,0
1523 W Scott St,Springfield,1,84900.0,2,1,1039,1,129720.0,-35.0,125.0,-35.0,1,2,1,1,1,1,0,0,3.0,1963.0,1,1,5,0,82.0,1,0,7,8276.0,2.0,0,0,0,0,11,0
1524 SW Georgetown Dr,Lees Summit,1,445000.0,4,3,2851,2,337199.0,32.0,150.0,4.0,1,1,1,0,1,0,0,0,1.0,1964.0,0,1,7,1,156.0,1,2,7,2851.0,3.0,3,0,0,0,0,0
1524 SW Sugar Tree Dr,Lees Summit,1,475000.0,5,4,2668,2,337199.0,41.0,150.0,19.0,1,1,0,0,1,0,0,0,1.0,2020.0,0,2,9,1,178.0,1,2,7,2668.0,3.0,3,0,0,0,0,0
1524 W Lynn St,Springfield,0,72000.0,2,1,820,1,129720.0,-44.0,125.0,-30.0,1,2,1,0,0,0,0,0,59.0,1953.0,0,1,4,1,88.0,1,0,5,6969.0,1.0,3,0,0,0,2,0
1525 SW Arbormill Ter,Lees Summit,1,524155.0,6,6,3858,2,337199.0,55.0,150.0,-9.0,1,1,1,0,1,1,0,0,1.0,2020.0,0,2,12,1,136.0,1,0,0,3858.0,3.0,3,35,0,0,0,0
1527 Friar Ln,Saint Louis,1,497000.0,3,2,2040,1,375401.0,32.0,218.0,12.0,1,1,1,1,1,1,0,0,61.0,1953.0,1,1,11,1,244.0,3,7,7,2040.0,2.0,3,0,0,0,1,0
1528 SW Sugar Tree Dr,Lees Summit,1,405000.0,3,2,1791,2,337199.0,20.0,150.0,51.0,1,1,0,1,1,0,0,0,1.0,2020.0,0,1,5,1,226.0,1,2,0,1791.0,3.0,3,68,0,0,0,0
1533 SW Arbor Creek Dr,Lees Summit,0,395091.0,4,3,2165,1,337199.0,17.0,150.0,22.0,1,1,1,0,1,0,0,0,180.0,2019.0,0,1,7,1,182.0,1,6,5,2165.0,3.0,3,0,0,0,7,0
1535 SW Arbor Park Dr,Lees Summit,1,405000.0,3,2,1841,2,337199.0,20.0,150.0,47.0,1,1,1,0,1,1,0,0,1.0,2020.0,0,1,5,1,220.0,1,0,4,7026.0,2.0,3,44,0,0,0,0
1538 SW Arbor Park Dr,Lees Summit,1,425000.0,5,3,2722,2,337199.0,26.0,150.0,4.0,1,1,1,0,0,0,0,0,1.0,2020.0,0,1,8,0,156.0,1,2,5,2722.0,3.0,0,0,0,0,0,0
1540 N National Ave,Springfield,0,74900.0,3,1,1346,3,117917.0,-36.0,93.0,-40.0,1,2,1,0,1,1,0,0,67.0,1924.0,0,1,6,0,56.0,0,0,7,7405.0,2.2,0,0,0,0,1,0
15412 E 36th Ter,Kansas City,1,150000.0,3,2,1416,1,161172.0,-7.0,125.0,-15.0,1,2,1,1,1,1,0,0,4.0,1966.0,0,1,11,1,106.0,1,2,7,8707.0,2.0,1,0,1,0,2,0
15560 S Hawkins Rd,Columbia,0,350000.0,5,4,3652,1,223410.0,57.0,131.0,-27.0,2,1,1,1,1,1,0,0,9.0,1961.0,0,2,8,0,96.0,1,7,8,3.0,2.2,0,0,0,0,1,0
1568 SW Arbor Park Dr,Lees Summit,1,430600.0,4,6,2715,2,337199.0,28.0,150.0,6.0,1,1,1,0,1,1,0,0,1.0,1964.0,0,2,10,1,159.0,1,2,2,2715.0,3.0,3,35,0,0,0,0
1570 Washington St,Saint Louis,1,154900.0,3,2,1340,1,146703.0,6.0,105.0,10.0,1,1,1,1,1,1,0,0,5.0,1951.0,1,1,7,1,116.0,0,2,8,1340.0,2.0,3,0,0,0,4,0
1575 Saint Loretto Dr,Saint Louis,1,140000.0,3,2,1397,1,146703.0,-5.0,105.0,-5.0,1,1,1,0,1,1,0,0,4.0,1956.0,1,1,7,1,100.0,1,2,5,9540.0,1.0,3,0,0,0,1,0
1580 W Gaslight Dr,Springfield,0,809900.0,7,4,8000,1,241106.0,236.0,117.0,-13.0,1,1,1,1,1,1,0,0,180.0,2016.0,0,2,22,1,101.0,1,7,5,8000.0,3.0,3,51,0,0,14,0
1587 E Redrex St,Springfield,1,184999.0,3,2,1761,1,186454.0,-1.0,112.0,-6.0,1,1,1,1,0,0,1,0,10.0,2000.0,0,1,5,1,105.0,1,0,7,7450.0,2.0,3,0,0,0,1,0
159 Bailey Dr,Columbia,1,379900.0,3,2,1840,1,254792.0,49.0,128.0,61.0,1,1,1,0,1,1,0,0,7.0,1964.0,0,2,5,0,206.0,1,7,5,7588.0,2.2,0,0,0,0,1,0
16 Roclare Ln,Saint Louis,0,2324000.0,4,6,5423,1,664548.0,250.0,228.0,88.0,1,1,1,0,1,1,0,0,180.0,1963.0,0,1,9,1,429.0,1,2,5,5423.0,4.0,3,4,1,0,5,0
1600 Woodrail Ave,Columbia,0,1195000.0,4,7,7802,1,254792.0,369.0,128.0,20.0,1,1,1,0,1,1,0,0,105.0,2004.0,0,3,10,1,153.0,3,7,5,7802.0,3.0,3,100,1,1,7,0
1601 Oakley Ave,Kansas City,0,40000.0,3,1,1190,3,49441.0,-19.0,45.0,-25.0,1,1,1,1,1,1,0,0,38.0,1905.0,0,2,4,1,34.0,1,2,8,5000.0,1.0,3,0,0,0,10,0
1601 SW Jefferson St,Lees Summit,1,680000.0,3,2,1670,1,299186.0,127.0,140.0,191.0,1,1,1,0,1,1,0,0,9.0,1950.0,0,1,5,1,407.0,1,2,7,1.0,2.0,3,0,0,0,3,0
