title,directed_by,produced_by,screenplay_by,based_on,starring,music_by,cinematography,edited_by,productioncompany,distributed_by,release_date,running_time,country,language,budget,box_office,story_by,productioncompanies,written_by,narrated_by
The Laundromat,Steven Soderbergh,Scott Z. Burns Lawrence Grey Gregory Jacobs Steven Soderbergh Michael Sugar,Scott Z. Burns,Secrecy World: Inside the Panama Papers Investigation of Illicit Money Networks and the Global Eliteby Jake Bernstein,Meryl Streep Gary Oldman Antonio Banderas Jeffrey Wright Robert Patrick David Schwimmer Rosalind Chao Sharon Stone,David Holmes,Peter Andrews,Mary Ann Bernard,Anonymous Content Grey Matter Productions Topic Studios Netflix Sugar23,Netflix,"September 1, 2019Venice) September 27, 2019",95 minutes,United States,English,,,,,,
Judy,Rupert Goold,David Livingstone,Tom Edge,End of the Rainbowby Peter Quilter,Renée Zellweger Finn Wittrock Jessie Buckley Rufus Sewell Michael Gambon,Gabriel Yared,Ole Bratt Birkeland,Melanie Ann Oliver,Pathé BBC Films Calamity Films BFI,LD Entertainment & Roadside Attractions (United States) 20th Century Fox (United Kingdom),30 August 2019Telluride) 27 September 2019 2 October 2019,118 minutes,United Kingdom United States,English,10 million,43.7 million,,,,
Joker,Todd Phillips,Todd Phillips Bradley Cooper Emma Tillinger Koskoff,,Charactersby DC Comics,Joaquin Phoenix Robert De Niro Zazie Beetz Frances Conroy,Hildur Guðnadóttir,Lawrence Sher,Jeff Groth,,Warner Bros. Pictures,"August 31, 2019Venice) October 4, 2019",122 minutes,United States,English,55–70 million,1.074 billion,,Warner Bros. Pictures DC Films Joint Effort Bron Creative Village Roadshow Pictures,Todd Phillips Scott Silver,
Lucy in the Sky,Noah Hawley,Reese Witherspoon Bruna Papandrea Noah Hawley John Cameron Michael Jackson,Brian C. Brown Elliott DiGuiseppi Noah Hawley,,Natalie Portman Jon Hamm Zazie Beetz Dan Stevens Colman Domingo Ellen Burstyn,Jeff Russo,Polly Morgan,Regis Kimble,Pacific Standard 26 Keys Productions TSG Entertainment,Fox Searchlight Pictures,"September 11, 2019TIFF) October 4, 2019",124 minutes,United States,English,21.4 million,"325,950",Brian C. Brown Elliott DiGuiseppi,,,
Dolemite Is My Name,Craig Brewer,Eddie Murphy John Davis John Fox,,,Eddie Murphy Da'Vine Joy Randolph Keegan-Michael Key Mike Epps Craig Robinson Tituss Burgess Wesley Snipes,Scott Bomar,Eric Steelberg,Billy Fox,Davis EntertainmentNetflix,Netflix,"September 7, 2019TIFF) October 4, 2019",118 minutes,United States,English,,,,,Scott AlexanderLarry Karaszewski,
In the Tall Grass,Vincenzo Natali,Steve Hoban Jimmy Miller M. Riley,Vincenzo Natali,In the Tall Grassby Stephen KingJoe Hill,Harrison Gilbertson Laysla De Oliveira Avery Whitted Will Buie Jr. Rachel Wilson Patrick Wilson,Mark Korven,Craig Wrobleski,Michele Conroy,Copperheart Entertainment Netflix,Netflix,"September 20, 2019Fantastic Fest) October 4, 2019",90 minutes 101 minutes (Extended version),Canada,English,,,,,,
Low Tide,Kevin McMullin,Rian Cahill Brian Kavanaugh-Jones Brandon McHugh Richard Peete Kevin Rowe,,,Keean Johnson Alex Neustaedter Daniel Zolghadri Kristine Froseth Shea Whigham Jaeden Martell,Brooke Blair Will Blair,Andrew Ellmaker,Ed Yonaitis,,A24 DirecTV Cinema,"April 28, 2019Tribeca) October 4, 2019",90 minutes,United States,English,,,,Automatik Boy & Star Headgear Films Metrol Technology Neighborhood Watch,Kevin McMullin,
Little Monsters,Abe Forsythe,Jodi Matterson Bruna Papandrea Steve Hutensky Keith Calder Jessica Calder,,,Lupita Nyong'o Alexander England Kat Stewart Diesel La Torraca Josh Gad,Piers Burbrook de Vere,Lachlan Milne,Drew Thompson Jim May,Screen Australia Protagonist Pictures Made Up Stories Snoot Entertainment Neon,Hulu (United States) Altitude (United Kingdom) Universal Pictures (Australia),"January 27, 2019Sundance) October 8, 2019 October 31, 2019 November 15, 2019",94 minutes,Australia United States United Kingdom,English,,,,,Abe Forsythe,
Gemini Man,Ang Lee,Jerry Bruckheimer David Ellison Dana Goldberg Don Granger,David Benioff Billy Ray Darren Lemke,,Will Smith Mary Elizabeth Winstead Clive Owen Benedict Wong,Lorne Balfe,Dion Beebe,Tim Squyres,Skydance Media Jerry Bruckheimer Films Fosun Pictures Alibaba Pictures,Paramount Pictures,"October 1, 2019ZFF) October 11, 2019",117 minutes,United States,English,138 million,173.5 million,Darren Lemke David Benioff,,,
The Addams Family,Conrad Vernon Greg Tiernan,Gail Berman Conrad Vernon Alex Schwartz Alison O'Brien,Matt Lieberman Pamela Pettler (draft),The Addams Family by Charles Addams,Oscar Isaac Charlize Theron Chloë Grace Moretz Finn Wolfhard Nick Kroll Snoop Dogg Bette Midler Allison Janney,Mychael Danna Jeff Danna,,David Ian Salter,Metro-Goldwyn-Mayer Pictures Bron Creative The Jackal Group Cinesite Studios,United Artists Releasing (United States and Canada) Universal Pictures (International),"October 11, 2019",87 minutes,"United States, Canada",English,24 million,204 million,Matt Lieberman Erica Rivinoja Conrad Vernon,,,
The King,David Michôd,Brad Pitt Dede Gardner Jeremy Kleiner Liz Watts David Michôd Joel Edgerton,,"Henry IV, Part 1, Henry IV, Part 2 and Henry Vby William Shakespeare",Timothée Chalamet Joel Edgerton Robert Pattinson Lily-Rose Depp Sean Harris Ben Mendelsohn,Nicholas Britell,Adam Arkapaw,Peter Sciberras,,Netflix,2 September 2019Venice) 11 October 2019,140 minutes,Australia United States,English,23 million,"10,000+",,Plan B Entertainment Netflix Blue-Tongue Films Porchlight Films,David Michôd Joel Edgerton,
Jexi,Jon Lucas Scott Moore,Suzanne Todd,,,Adam DeVine Alexandra Shipp Michael Peña Rose Byrne,Christopher Lennertz Philip White,Ben Kutchins,James Thomas,,Lionsgate,"October 11, 2019",84 minutes,CanadaUnited States,English,5–13.6 million,9.3 million,,CBS Films eOne,Jon Lucas Scott Moore Patrick Doran,
El Camino: A Breaking Bad Movie,Vince Gilligan,Mark Johnson Melissa Bernstein Charles Newirth Vince Gilligan Aaron Paul Diane Mercer,,Breaking Badby Vince Gilligan,Aaron Paul,Dave Porter,Marshall Adams,Skip MacDonald,Sony Pictures TelevisionGran Vía ProductionsHigh Bridge Productions,Netflix,"October 11, 2019",122 minutes,United States,English,more than 6 million,"at least 40,000",,,Vince Gilligan,
Maleficent: Mistress of Evil,Joachim Rønning,Joe Roth Angelina Jolie Duncan Henderson,,Characters from: Disney's Sleeping Beauty La Belle au bois dormantby Charles Perrault,Angelina Jolie Elle Fanning Chiwetel Ejiofor Sam Riley Ed Skrein Imelda Staunton Juno Temple Lesley Manville Michelle Pfeiffer,Geoff Zanelli,Henry Braham,Laura Jennings Craig Wood,Walt Disney Pictures Roth/Kirschenbaum Films,Walt Disney StudiosMotion Pictures,"October 18, 2019",119 minutes,United States,English,185 million,491.7 million,,,Linda Woolverton Noah Harpster Micah Fitzerman-Blue,
Zombieland: Double Tap,Ruben Fleischer,Gavin Polone,,,Woody Harrelson Jesse Eisenberg Abigail Breslin Emma Stone Rosario Dawson Zoey Deutch Luke Wilson,David Sardy,Chung Chung-hoon,Dirk Westervelt,,Sony Pictures Releasing,"October 18, 2019",99 minutes,United States,English,42–48 million,122.8 million,,Columbia Pictures 2.0 Entertainment Pariah,Rhett Reese Paul Wernick David Callaham,
Jojo Rabbit,Taika Waititi,Carthew Neal Taika Waititi Chelsea Winstanley,Taika Waititi,Caging Skiesby Christine Leunens,Roman Griffin Davis Thomasin McKenzie Taika Waititi Rebel Wilson Stephen Merchant Alfie Allen Sam Rockwell Scarlett Johansson,Michael Giacchino,Mihai Mălaimare Jr.,Tom Eagles,Fox Searchlight Pictures TSG Entertainment Defender Films Piki Films,Fox Searchlight Pictures,"September 8, 2019TIFF) October 18, 2019",108 minutes,United States New Zealand Czech Republic,English,14 million,90.3 million,,,,
The Lighthouse,Robert Eggers,Rodrigo Teixeira Jay Van Hoy Robert Eggers Lourenço Sant' Anna Youree Henley,,,Willem Dafoe Robert Pattinson,Mark Korven,Jarin Blaschke,Louise Ford,A24 Regency Enterprises RT Features,A24 (United States) VVS Films (Canada) Focus Features/Universal Pictures (International),"May 19, 2019Cannes) October 18, 2019",109 minutes,United States Canada,English,4 million,18.2 million,,,Robert Eggers Max Eggers,
Wounds,Babak Anvari,Christopher Kopp Lucan Toh,,The Visible Filthby Nathan Ballingrud,Armie Hammer Dakota Johnson Zazie Beetz,,Kit Fraser,Chris Barwell,,Hulu (United States) Netflix (International),"January 26, 2019Sundance) October 18, 2019",94 minutes,United States United Kingdom,English,,,,Annapurna Pictures Two & Two Pictures AZA Film,Babak Anvari,
Black and Blue,Deon Taylor,Sean Sorensen,,,Naomie Harris Tyrese Gibson Frank Grillo Mike Colter Reid Scott,Geoff Zanelli,Dante Spinotti,Peck Prior,,Sony Pictures Releasing,"September 21, 2019 October 25, 2019",108 minutes,United States,English,12 million,22.7 million,,Screen Gems Royal Viking Entertainment Hidden Empire Film Group,Peter A. Dowling,
The Current War,Alfonso Gomez-Rejon,Timur Bekmambetov Basil Iwanyk Steven Zaillian,,,Benedict Cumberbatch Michael Shannon Nicholas Hoult Katherine Waterston Tom Holland Tuppence Middleton Matthew Macfadyen,Volker Bertelmann & Dustin O'Halloran (2017) Danny Bensi & Saunder Jurriaans (2019),Chung-hoon Chung,David Trachtenberg Justin Krohn,Bazelevs Company Film Rites Thunder Road Pictures,101 Studios(United States) Lantern Entertainment(International),"September 9, 2017TIFF) October 25, 2019",107 minutes,United States,English,30 million,12.3 million,,,Michael Mitnick,
Countdown,Justin Dec,John Rickard Zack Schiller Sean Anders John Morris,,,Elizabeth Lail Jordan Calloway Talitha Bateman Tichina Arnold P.J. Byrne Peter Facinelli Anne Winters Tom Segura,Danny Bensi Saunder Jurriaans,Maxime Alexandre,,Boies / Schiller Film Group Two Grown Men Wrigley Pictures,STX Entertainment,"October 25, 2019",90 minutes,United States,English,6.5 million,48 million,,,Justin Dec,
The Kill Team,Dan Krauss,Marty Bowen Wyck Godfrey Adrian Guerra Isaac Klausner,,,"Nat Wolff Adam Long Jonathan Whitesell Brian ""Sene"" Marc Osy Ikhile Anna Francolini Rob Morrow Alexander Skarsgård",Zacarias M. de la Riva,Stéphane Fontaine,Luke Doolan Franklin Peterson,,A24,"April 27, 2019Tribeca) October 25, 2019",87 minutes,United States,English,,"372,282",,Nostromo Pictures Temple Hill Entertainment,Dan Krauss,
The Gallows Act II,Chris Lofing Travis Cluff,Jason Blum Guymon Casady Dean Schnider Benjamin Forkner Chris Lofing Travis Cluff,,,Ema Horvath Chris Milligan Brittany Falardeau,Zach Lemmon,Kyle Gentz,,Blumhouse Productions Entertainment 360 Tremendum Pictures,Lionsgate,"October 25, 2019",99 minutes,United States,English,,,,,Chris Lofing Travis Cluff,
Terminator: Dark Fate,Tim Miller,James Cameron David Ellison,David Goyer Justin Rhodes Billy Ray,,Linda Hamilton Arnold Schwarzenegger Mackenzie Davis Natalia Reyes Gabriel Luna Diego Boneta,Tom Holkenborg,Ken Seng,Julian Clarke,Paramount Pictures Skydance Media 20th Century Fox Tencent Pictures TSG Entertainment Lightstorm Entertainment,Paramount Pictures (North America) Tencent Pictures (China) 20th Century Fox (International),"October 23, 2019 November 1, 2019",128 minutes,United States,English,185–196 million,261.1 million,James Cameron Charles Eglee Josh Friedman David Goyer Justin Rhodes,,,
Motherless Brooklyn,Edward Norton,Edward Norton Bill Migliore Gigi Pritzker Rachel Shane Michael Bederman,,Motherless Brooklynby Jonathan Lethem,Edward Norton Bruce Willis Gugu Mbatha-Raw Bobby Cannavale Cherry Jones Alec Baldwin Willem Dafoe,Daniel Pemberton,Dick Pope,Joe Klotz,Class 5 Films MWM Studios,Warner Bros. Pictures,"August 30, 2019Telluride) November 1, 2019",144 minutes,United States,English,26 million,18.5 million,,,Edward Norton,
The Irishman,Martin Scorsese,Martin Scorsese Robert De Niro Jane Rosenthal Emma Tillinger Koskoff Irwin Winkler Gerald Chamales Gastón Pavlovich Randall Emmett Gabriele Israilovici,Steven Zaillian,I Heard You Paint Housesby Charles Brandt,Robert De Niro Al Pacino Joe Pesci Ray Romano Bobby Cannavale Anna Paquin Stephen Graham Harvey Keitel,Robbie Robertson,Rodrigo Prieto,Thelma Schoonmaker,,Netflix,"September 27, 2019NYFF) November 1, 2019",209 minutes,United States,English,159–250 million,8 million,,TriBeCa Productions Sikelia Productions Winkler Films,,
Harriet,Kasi Lemmons,Debra Martin Chase Daniela Taplin Lundberg Gregory Allen Howard,Gregory Allen Howard Kasi Lemmons,,Cynthia Erivo Leslie Odom Jr. Joe Alwyn Janelle Monáe,Terence Blanchard,John Toll,Wyatt Smith,,Focus Features,"September 10, 2019TIFF) November 1, 2019",125 minutes,United States,English,17 million,43.3 million,Gregory Allen Howard,Perfect World Pictures New Balloon Stay Gold Features,,
Arctic Dogs,Aaron Woodley,Monika Bacardi Andrea Iervolino Joonbum Heo Youngki Lee Jae Y. Moh Jae Woo Park,,,Jeremy Renner Heidi Klum James Franco John Cleese Omar Sy Michael Madsen Laurie Holden Anjelica Huston Alec Baldwin,David Buckley,,Lesley Mackay Hunter,AMBI Media Group AIC Studios Assemblage Entertainment,Entertainment Studios Motion Pictures,"November 1, 2019",93 minutes,United StatesCanadaIndia,English,50 million,9.9 million,,,Matt Lyon Bob Barlen Cal Brunker Aaron Woodley Bryan Thompson,
Christmas Coupon,Daniel Knudsen,Mark A. KnudsenMichelle KnudsenTel K. GanesanG.B. Thimotheose,,,Courtney MathewsAaron NobleBobby LaenenSheena MonninDaniel KnudsenNapoleonDrew JacobsTim Kaiser,Sean Anthony Kisch,,,Crystal Creek Media,Crystal Creek MediaKyyba Films,"December 2, 2019",93 minutes,United States,English,,,,,Daniel Knudsen,
Marriage Story,Noah Baumbach,David Heyman Noah Baumbach,,,Scarlett Johansson Adam Driver Laura Dern Alan Alda Ray Liotta Julie Hagerty Merritt Wever,Randy Newman,Robbie Ryan,Jennifer Lame,,Netflix,"August 29, 2019Venice) November 6, 2019 November 15, 2019",137 minutes,United States United Kingdom,English,18 million,2.3 million,,Heyday Films,Noah Baumbach,
Doctor Sleep,Mike Flanagan,Trevor Macy Jon Berg,Mike Flanagan,Doctor Sleepby Stephen King,Ewan McGregor Rebecca Ferguson Kyliegh Curran Cliff Curtis,The Newton Brothers,Michael Fimognari,Mike Flanagan,,Warner Bros. Pictures,"October 21, 2019Regency Village Theater) November 8, 2019",152 minutes,United States,English,45–55 million,72.3 million,,Intrepid Pictures Vertigo Entertainment,,
Last Christmas,Paul Feig,Paul Feig Jessie Henderson David Livingstone Emma Thompson,Emma Thompson Bryony Kimmings,"""Last Christmas""by George Michael",Emilia Clarke Henry Golding Michelle Yeoh Emma Thompson,Theodore Shapiro (scores)George MichaelWham! (songs),John Schwartzman,Brent White,Feigco Entertainment Perfect World Pictures Calamity Films,Universal Pictures,8 November 2019 15 November 2019,103 minutes,United Kingdom United States,English,25–30 million,121.6 million,Emma Thompson Greg Wise,,,
Playing with Fire,Andy Fickman,Todd GarnerSean Robins,Dan EwenMatt Lieberman,,John CenaJohn LeguizamoKeegan-Michael KeyBrianna HildebrandDennis HaysbertJudy Greer,Nathan Wang,Dean Semler,Elísabet Ronaldsdóttir,Paramount PlayersNickelodeon MoviesWalden MediaBroken Road Productions,Paramount Pictures,"October 20, 2019 November 8, 2019",96 minutes,United States,English,29.9 million,68.6 million,Dan Ewen,,,
Midway,Roland Emmerich,Roland Emmerich Harald Kloser,,,Ed Skrein Patrick Wilson Luke Evans Aaron Eckhart Nick Jonas Etsushi Toyokawa Tadanobu Asano Luke Kleintank Jun Kunimura Darren Criss Keean Johnson Mandy Moore Dennis Quaid Woody Harrelson,Thomas Wander Harald Kloser,Robby Baumgartner,Adam Wolfe,Summit Entertainment Centropolis Entertainment RuYi Media Starlight Culture Entertainment Group Street Entertainment AGC Studios Entertainment One,Lionsgate,"November 8, 2019",138 minutes,United States,EnglishJapanese,100 million,125.6 million,,,Wes Tooke,
Klaus,Sergio Pablos,Jinko GotohSergio PablosMarisa RomanMatthew TeevanMercedes GameroMikel Lejarza OrtizGustavo Ferrada,Sergio PablosJim MahoneyZach Lewis,,Jason Schwartzman J. K. Simmons Rashida Jones Will Sasso Neda Margrethe Labba Sergio Pablos Norm Macdonald Joan Cusack,Alfonso González Aguilar,,Pablo Garcia Revert,Netflix AnimationSergio Pablos Animation StudiosAtresmedia Cine,Netflix,8 November 2019,97 minutes,Spain,English Northern Sami,40 million,,Sergio Pablos,,,
Honey Boy,Alma Har'el,Anita Gou Alma Har'el Brian Kavanaugh-Jones Christopher Legget Daniela Taplin Lundberg,,,Shia LaBeouf Lucas Hedges Noah Jupe FKA Twigs,Alex Somers,Natasha Braier,Dominic LaPerriere Monica Salazar,,Amazon Studios,"January 25, 2019Sundance) November 8, 2019",94 minutes,United States,English,3.5 million,3.4 million,,Automatik Stay Gold Features Delirio Films,Shia LaBeouf,
Lady and the Tramp,Charlie Bean,Brigham Taylor,Andrew Bujalski Kari Granlund,"Disney's Lady and the Trampby Erdman PennerJoe RinaldiRalph WrightDon DaGradi Happy Dan, the Cynical Dogby Ward Greene",Tessa Thompson Justin Theroux Kiersey Clemons Thomas Mann Janelle Monáe F. Murray Abraham Yvette Nicole Brown Adrian Martinez Ken Jeong Sam Elliott,Joseph Trapanese,Enrique Chediak,Melissa Bretherton,Walt Disney Pictures Taylor Made,Disney+Walt Disney Studios Motion Pictures,"November 12, 2019",104 minutes,United States,English,60 million,,,,,
Noelle,Marc Lawrence,Suzanne Todd,,,Anna Kendrick Bill Hader Kingsley Ben-Adir Billy Eichner Julie Hagerty Shirley MacLaine,Cody Fitzgerald Clyde Lawrence,Russell Carpenter,Hughes Winborne,Walt Disney Pictures,Disney+Walt Disney Studios Motion Pictures,"November 12, 2019",100 minutes,United States,English,,,,,Marc Lawrence,
Ford v Ferrari,James Mangold,Peter Chernin Jenno Topping James Mangold,,,Matt Damon Christian Bale,Marco Beltrami Buck Sanders,Phedon Papamichael,Michael McCusker Andrew Buckland,,20th Century Fox,"August 30, 2019Telluride) November 15, 2019",152 minutes,United States,English,97.6 million,225.5 million,,Chernin Entertainment TSG Entertainment Turnpike Films,Jez Butterworth John-Henry Butterworth Jason Keller,
Charlie's Angels,Elizabeth Banks,Doug Belgrad Elizabeth Cantillon Max Handelman Elizabeth Banks,Elizabeth Banks,Charlie's Angelsby Ivan GoffBen Roberts,Kristen Stewart Naomi Scott Ella Balinska Elizabeth Banks Djimon Hounsou Sam Claflin Noah Centineo Nat Faxon Patrick Stewart,Brian Tyler,Bill Pope,Alan Baumgarten,,Sony Pictures Releasing,"November 14, 2019 November 15, 2019",119 minutes,United States,English,48–55 million,73.3 million,Evan Spiliotopoulos David Auburn,Columbia Pictures Perfect World Pictures 2.0 Entertainment Brownstone Productions Cantillon Company,,
The Good Liar,Bill Condon,Bill Condon Greg Yolen,Jeffrey Hatcher,The Good Liarby Nicholas Searle,Helen Mirren Ian McKellen Russell Tovey Jim Carter,Carter Burwell,Tobias A. Schliessler,Virginia Katz,New Line Cinema Bron Creative 1000 Eyes,Warner Bros. Pictures,"November 8, 2019 November 15, 2019",109 minutes,United Kingdom United States,English,10 million,33.9 million,,,,
The Report,Scott Z. Burns,Scott Z. Burns Jennifer Fox Danny Gabai Eddy Moretti Kerry Orent Steven Soderbergh Michael Sugar,,,Adam Driver Annette Bening Ted Levine Michael C. Hall Tim Blake Nelson Corey Stoll Maura Tierney Jon Hamm,David Wingo,Eigil Bryld,Greg O'Bryant,VICE Studios Unbranded Pictures Margin of Error Topic Studios,Amazon Studios,"January 26, 2019Sundance) November 15, 2019",119 minutes,United States,English,8 million,"517,788",,,Scott Z. Burns,
Waves,Trey Edward Shults,Kevin Turen Jessica Row Trey Edward Shults,,,Kelvin Harrison Jr. Lucas Hedges Taylor Russell Alexa Demie Renée Elise Goldsberry Sterling K. Brown,Trent Reznor Atticus Ross,Drew Daniels,Trey Edward Shults Isaac Hagy,,A24,"August 30, 2019Telluride) November 15, 2019",135 minutes,United States,English,,2.5 million,,Guy Grand Productions JW Films,Trey Edward Shults,
Frozen II,Chris Buck Jennifer Lee,Peter Del Vecho,Jennifer Lee,,Kristen Bell Idina Menzel Josh Gad Jonathan Groff,Christophe Beck (score) Robert Lopez (songs) Kristen Anderson-Lopez (songs),Tracy Scott Beattie (layout) Mohit Kallianpur (lighting),Jeff Draheim,Walt Disney Pictures Walt Disney Animation Studios,Walt Disney StudiosMotion Pictures,"November 7, 2019Dolby Theatre) November 22, 2019",103 minutes,United States,English,150 million,1.450 billion,Chris Buck Jennifer Lee Marc E. Smith Kristen Anderson-Lopez Robert Lopez,,,
A Beautiful Day in the Neighborhood,Marielle Heller,Youree Henley Peter Saraf Marc Turtletaub Leah Holzer,,"""Can You Say ... Hero?""by Tom Junod",Tom Hanks Matthew Rhys Susan Kelechi Watson Chris Cooper,Nate Heller,Jody Lee Lipes,Anne McCabe,TriStar Pictures Tencent Pictures Big Beach Mr. Youree Productions,Sony Pictures Releasing,"September 7, 2019TIFF) November 22, 2019",109 minutes,United States,English,25 million,68.3 million,,,Micah Fitzerman-Blue Noah Harpster,
21 Bridges,Brian Kirk,Anthony RussoJoe Russo Mike Larocca Robert Simonds Gigi Pritzker Chadwick Boseman Logan Coles,Adam Mervis Matthew Michael Carnahan,,Chadwick Boseman Sienna Miller J. K. Simmons Stephan James Taylor Kitsch,Henry Jackman Alex Belcher,Paul Cameron,Tim Murrell,MWM Studios H. Brothers AGBO X-Ception Content,STXfilms,"November 22, 2019",100 minutes,United States,English,33 million,49.9 million,Adam Mervis,,,
Dark Waters,Todd Haynes,Mark Ruffalo Christine Vachon Pamela Koffler,Mario Correa Matthew Michael Carnahan,"""The Lawyer Who Became DuPont's Worst Nightmare""by Nathaniel Rich",Mark Ruffalo Anne Hathaway Tim Robbins Bill Camp Victor Garber Mare Winningham Bill Pullman,Marcelo Zarvos,Edward Lachman,Affonso Gonçalves,,Focus Features,"November 12, 2019Walter Reade Theater) November 22, 2019",126 minutes,United States,English,,23.1 million,,Participant Killer Films,,
Knives Out,Rian Johnson,Ram Bergman Rian Johnson,,,Daniel Craig Chris Evans Ana de Armas Jamie Lee Curtis Michael Shannon Don Johnson Toni Collette Lakeith Stanfield Katherine Langford Jaeden Martell Christopher Plummer,Nathan Johnson,Steve Yedlin,Bob Ducsay,,Lionsgate,"September 7, 2019TIFF) November 27, 2019",130 minutes,United States,English,40 million,311.4 million,,MRC T-Street,Rian Johnson,
Queen & Slim,Melina Matsoukas,Lena Waithe Melina Matsoukas Michelle Knudsen Andrew Coles Brad Weston Pamela Abdy,Lena Waithe,,Daniel Kaluuya Jodie Turner-Smith Bokeem Woodbine Chloë Sevigny Flea Sturgill Simpson Indya Moore,Devonté Hynes,Tat Radcliffe,Pete Beaudreau,,Universal Pictures,"November 14, 2019AFI Fest) November 27, 2019",132 minutes,United States,English,17–20 million,47.9 million,James Frey Lena Waithe,3BlackDot Bron Creative Makeready De La Revolución Films Hillman Grad Productions,,
The Two Popes,Fernando Meirelles,Dan Lin Jonathan Eirich Tracey Seaward,Anthony McCarten,The Popeby Anthony McCarten,Anthony Hopkins Jonathan Pryce,Bryce Dessner,César Charlone,Fernando Stutz,Netflix,Netflix,"August 31, 2019Telluride) November 27, 2019 November 29, 2019",125 minutes,United Kingdom United States Italy Argentina,English,,"758,711",,,,
Playmobil: The Movie,Lino DiSalvo,Aton Soumache Dimitri Rassam Moritz Borman Alexis Vonarb,Blaise Hemingway Greg Erb Jason Oremland,Playmobil,Anya Taylor-Joy Jim Gaffigan Gabriel Bateman Adam Lambert Meghan Trainor Daniel Radcliffe,Heitor Pereira,,Maurissa Horwitz,Method AnimationON Animation StudiosDMG Entertainment,Pathé Distribution,10 June 2019Annecy) 7 August 2019,99 minutes,France,English,72 million,16.3 million,Lino DiSalvo,,,
The Aeronauts,Tom Harper,Todd Lieberman David Hoberman Tom Harper,Jack Thorne,Falling Upwards: How We Took to the Airby Richard Holmes,Eddie Redmayne Felicity Jones Himesh Patel Tom Courtenay,Steven Price,George Steel,Mark Eckersley,Mandeville Films FilmNation Entertainment,Entertainment One (United Kingdom) Amazon Studios (United States),30 August 2019Telluride) 4 November 2019 6 December 2019,100 minutes,United Kingdom United States,English,40 million,3.8 million,Tom Harper Jack Thorne,,,
A Million Little Pieces,Sam Taylor-Johnson,Alex Heineman Andrew Rona Pamela Abdy Brad Weston,Aaron Taylor-Johnson Sam Taylor-Johnson,A Million Little Piecesby James Frey,Aaron Taylor-Johnson Billy Bob Thornton Odessa Young Giovanni Ribisi Juliette Lewis Charlie Hunnam,Atticus RossLeopold RossClaudia Sarne,Jeff Cronenweth,Martin Pensa,The Picture Company Makeready 3blackdot Federal Films Snoopsquirrel,Momentum Pictures,"September 10, 2018TIFF) December 6, 2019",113 minutes,United States,English,,,,,,
Daniel Isn't Real,Adam Egypt Mortimer,Elijah Wood Daniel Noah Josh C. Waller Lisa Whalen,Adam Egypt Mortimer Brian DeLeeuw,In This Way I Was Savedby Brian DeLeeuw,Miles Robbins Patrick Schwarzenegger Sasha Lane Mary Stuart Masterson Hannah Marks Chukwudi Iwuji Peter McRobbie,Chris Clark,Lyle Vincent,Brett W. Bachman,SpectreVision ACE Pictures,Samuel Goldwyn Films,"March 9, 2019SXSW) December 6, 2019",100 minutes,United States,English,,,,,,
Jumanji: The Next Level,Jake Kasdan,Dwayne Johnson Dany Garcia Hiram Garcia Matt Tolmach William Teitler Jake Kasdan,,Jumanjiby Chris Van Allsburg,Dwayne Johnson Jack Black Kevin Hart Karen Gillan Nick Jonas Awkwafina Danny Glover Danny DeVito,Henry Jackman,Gyula Pados,Mark Helfrich Steve Edwards Tara Timpone,,Sony Pictures Releasing,"December 13, 2019",123 minutes,United States,English,125–132 million,800.1 million,,Columbia Pictures Seven Bucks Productions Matt Tolmach Productions,Jake Kasdan Jeff Pinkner Scott Rosenberg,
Richard Jewell,Clint Eastwood,Tim Moore Jessica Meier Kevin Misher Leonardo DiCaprio Jennifer Davisson Jonah Hill Clint Eastwood,,"""American Nightmare: The Ballad of Richard Jewell""by Marie Brenner The Suspect: An Olympic Bombing, the FBI, the Media, and Richard Jewell, the Man Caught in the Middleby Kent Alexander and Kevin Salwen",Sam Rockwell Kathy Bates Jon Hamm Olivia Wilde Paul Walter Hauser,Arturo Sandoval,Yves Bélanger,Joel Cox,Malpaso Productions Appian Way Productions Misher Films 75 Year Plan Productions,Warner Bros. Pictures,"November 20, 2019AFI Fest) December 13, 2019",129 minutes,United States,English,45 million,43.7 million,,,Billy Ray,
Black Christmas,Sophia Takal,Jason Blum Ben Cosgrove Adam Hendricks,Sophia Takal April Wolfe,Black Christmasby A. Roy Moore,Imogen Poots Lily Donoghue Aleyse Shannon Brittany O'Grady Caleb Eberhardt Cary Elwes,Will Blair Brooke Blair,Mark Schwartzbard,Jeff Betancourt,Blumhouse Productions Divide/Conquer,Universal Pictures,"December 13, 2019",92 minutes,United States,English,5 million,18.5 million,,,,
6 Underground,Michael Bay,Michael Bay Ian Bryce David Ellison Dana Goldberg Don Granger,,,Ryan Reynolds Mélanie Laurent Corey Hawkins Adria Arjona Manuel Garcia-Rulfo Ben Hardy Lior Raz Payman Maadi Yuri Kolokolnikov Kim Kold Dave Franco,Lorne Balfe,Bojan Bazelli,William Goldenberg Roger Barton Calvin Wimmer,Skydance Media Bay Films,Netflix,"December 10, 2019The Shed) December 13, 2019",128 minutes,United States,English,150 million,,,,Paul Wernick Rhett Reese,
