title,directed_by,produced_by,screenplay_by,based_on,starring,music_by,cinematography,edited_by,productioncompany,distributed_by,release_date,running_time,country,language,budget,box_office,story_by,productioncompanies,written_by,narrated_by
Dora and the Lost City of Gold,James Bobin,Kristin Burr,Nicholas StollerMatthew Robinson,Dora the Explorerby Chris GiffordValerie Walsh ValdesEric Weiner,Isabela Moner Eugenio Derbez Michael Peña Eva Longoria Adriana Barraza Danny Trejo,John DebneyGermaine Franco,Javier Aguirresarobe,Mark Everson,Paramount PlayersNickelodeon MoviesWalden MediaMedia Rights CapitalBurr! ProductionsScreen Queensland,Paramount Pictures,"August 9, 2019",102 minutes,United States,English,49 million,120.7 million,Tom WheelerNicholas Stoller,,,
The Kitchen,Andrea Berloff,Michael De Luca Marcus Viscidi,,The Kitchenby Ollie MastersMing Doyle,Melissa McCarthy Tiffany Haddish Elisabeth Moss Domhnall Gleeson James Badge Dale Brian d'Arcy James Margo Martindale Common Bill Camp,Bryce Dessner,Maryse Alberti,Christopher Tellefsen,New Line Cinema Bron Creative DC Vertigo Michael De Luca Productions,Warner Bros. Pictures,"August 9, 2019",103 minutes,United States,English,38 million,16 million,,,Andrea Berloff,
The Art of Racing in the Rain,Simon Curtis,Patrick Dempsey Tania Landau Neal H. Moritz,Mark Bomback,The Art of Racing in the Rainby Garth Stein,Milo Ventimiglia Amanda Seyfried Kathy Baker Martin Donovan Gary Cole,Dustin O'HalloranVolker Bertelmann,Ross Emery,Adam Recht,Fox 2000 Pictures Original Film Starbucks Entertainment Shifting Gears Productions,20th Century Fox,"August 9, 2019",109 minutes,United States,English,18 million,33.8 million,,,,Kevin Costner
Scary Stories to Tell in the Dark,André Øvredal,Guillermo del Toro Sean Daniel Jason F. Brown J. Miles Dale Elizabeth Grave,Dan Hageman Kevin Hageman,Scary Stories to Tell in the Darkby Alvin Schwartz,Zoe Colletti Michael Garza Gabriel Rush Austin Zajur Natalie Ganzhorn Austin Abrams Dean Norris Gil Bellows Lorraine Toussaint,Marco Beltrami Anna Drubich,Roman Osin,Patrick Larsgaard,CBS Films Entertainment One 1212 Entertainment Double Dare You Productions Sean Daniel Company,Lionsgate,"August 9, 2019",108 minutes,United States Canada,English,25–28 million,106 million,Guillermo del Toro Patrick Melton Marcus Dunstan,,,
The Peanut Butter Falcon,Tyler Nilson Michael Schwartz,Albert Berger Christopher Lemole Lije Sarki David Thies Ron Yerxa Tim Zajaros,,,Shia LaBeouf Zack Gottsagen Dakota Johnson John Hawkes Bruce Dern Jon Bernthal Thomas Haden Church,Zachary Dawes Noam Pikelny Jonathan Sadoff Gabe Witcher,Nigel Bluck,Kevin Tent Nathaniel Fuller,Armory Films Lucky Treehouse Bona Fide Productions Endeavor Content,Roadside Attractions,"March 9, 2019SXSW) August 9, 2019",98 minutes,United States,English,6.2 million,23.3 million,,,Tyler Nilson Michael Schwartz,
After the Wedding,Bart Freundlich,Joel B. Michaels Julianne Moore Bart Freundlich Harry Finkel Silvio Muraglia,Bart Freundlich,Efter brylluppetby Susanne BierAnders Thomas Jensen,Julianne Moore Michelle Williams Billy Crudup Abby Quinn,Mychael Danna,Julio Macat,Joseph Krings,Ingenious Media Cornerstone Films A Joel B. Michaels Production Rock Island Films,Sony Pictures Classics,"January 24, 2019Sundance ) August 9, 2019",110 minutes,United States,English,,2.7 million,,,,
Light of My Life,Casey Affleck,Teddy Schwarzman Casey Affleck John Powers Middleton,,,Casey Affleck Anna Pniowsky Tom Bower Elisabeth Moss,Daniel Hart,Adam Arkapaw,Dody Dorn Christopher Tellefsen,,Saban Films,"February 8, 2019Berlinale) August 9, 2019",119 minutes,United States,English,,"930,836",,Black Bear Pictures Company A,Casey Affleck,
The Angry Birds Movie 2,Thurop Van Orman,John Cohen,Peter Ackerman Eyal Podell Jonathon E. Stewart,Characters from Angry Birdsby Rovio Entertainment,Jason Sudeikis Josh Gad Leslie Jones Bill Hader Rachel Bloom Awkwafina Sterling K. Brown Eugenio Derbez Tiffany Haddish Danny McBride Peter Dinklage Pete Davidson Zach Woods Dove Cameron Lil Rel Howery,Heitor Pereira,Simon Dunsdon,Kent Beyda Ally Garrett,,Sony Pictures Releasing,"August 2, 2019 August 9, 2019 August 14, 2019",97 minutes,FinlandUnited States,English,65 million,154 million,,Columbia Pictures Sony Pictures Animation Rovio Entertainment,,
Good Boys,Gene Stupnitsky,Lee Eisenberg Evan Goldberg Seth Rogen James Weaver,,,Jacob Tremblay Keith L. Williams Brady Noon Molly Gordon Lil Rel Howery Midori Francis,Lyle Workman,Jonathan Furmanski,Daniel Gaby,,Universal Pictures,"March 11, 2019SXSW) August 14, 2019",89 minutes,United States,English,20 million,111.2 million,,Good Universe Point Grey Pictures Quantity Entertainment,Lee Eisenberg Gene Stupnitsky,
Blinded by the Light,Gurinder Chadha,Jane Barclay Gurinder Chadha Jamal Daniel,,"Greetings from Bury Park: Race, Religion and Rock N’ Rollby Sarfraz Manzoor",Viveik Kalra Kulvinder Ghir Meera Ganatra Nell Williams Aaron Phagura Dean-Charles Chapman,A. R. Rahman,Ben Smithard,Justin Krish,Levantine Films INGENIθUS Bend It Films Cornerstone Films,Entertainment One Films,27 January 2019Sundance) 9 August 2019,117 minutes,United Kingdom,English,15 million,18.1 million,,,Paul Mayeda Berges Gurinder Chadha Sarfraz Manzoor,
"Where'd You Go, Bernadette",Richard Linklater,Nina Jacobson Brad Simpson Ginger Sledge,Richard Linklater Holly Gent Vince Palmo,"Where'd You Go, Bernadetteby Maria Semple",Cate Blanchett Billy Crudup Kristen Wiig Judy Greer Laurence Fishburne,Graham Reynolds Sam Lipman,Shane F. Kelly,Sandra Adair,,United Artists Releasing,"August 16, 2019",109 minutes,United States,English,18 million,10.4 million,,Annapurna Pictures Color Force Detour Filmproduction,,
47 Meters Down: Uncaged,Johannes Roberts,James Harris Mark Lane Robert Jones,Johannes Roberts Ernest Riera,,Sophie Nélisse Corinne Foxx Brianne Tju Sistine Stallone Davi Santos Khylin Rhambo Brec Bassinger John Corbett Nia Long,Tomandandy,Mark Silk,Martin Brinkler,,Entertainment Studios Motion Pictures,"August 16, 2019",89 minutes,United States United Kingdom,English,12 million,46.7 million,,The Fyzz Facility,,
Gwen,William McGregor,Hilary Bevan Jones,,,Maxine PeakeEleanor Worthington Cox,James Edward Barker,Adam Etherington,Mark Towns,BFI Endor Productions,AMC Networks,7 September 2018,86 minutes,United Kingdom,EnglishWelsh,,,,,William McGregor,
Ready or Not,Matt Bettinelli-Olpin Tyler Gillett,Tripp Vinson James Vanderbilt William Sherak Bradley J. Fischer,,,Samara Weaving Adam Brody Mark O'Brien Henry Czerny Andie MacDowell,Brian Tyler,Brett Jutkiewicz,Terel Gibson,,Fox Searchlight Pictures,"July 27, 2019Fantasia) August 21, 2019",95 minutes,United States,English,6 million,57.6 million,,Mythology Entertainment Vinson Films,Guy Busick R. Christopher Murphy,
Angel Has Fallen,Ric Roman Waugh,Gerard Butler Alan Siegel Matt O'Toole John Thompson Les Weldon Yariv Lerner,Robert Mark Kamen Matt Cook Ric Roman Waugh,Charactersby Creighton RothenbergerKatrin Benedikt,Gerard Butler Morgan Freeman Jada Pinkett Smith Lance Reddick Tim Blake Nelson Piper Perabo Nick Nolte Danny Huston,David Buckley,Jules O'Loughlin,Gabriel Fleming,Millennium Media G-BASE,Lionsgate,"August 23, 2019",121 minutes,United States,English,40–80 million,146.7 million,Creighton Rothenberger Katrin Benedikt,,,
Brittany Runs a Marathon,Paul Downs Colaizzo,Matthew Plouffe Tobey Maguire Margot Hand,,,Jillian Bell Michaela Watkins Utkarsh Ambudkar Lil Rel Howery Micah Stock,Duncan Thum,Seamus Tierney,Casey Brooks,,Amazon Studios,"January 28, 2019Sundance) August 23, 2019",103 minutes,United States,English,,7.4 million,,Material Pictures Picture Films,Paul Downs Colaizzo,
Overcomer,Alex Kendrick,Aaron Burns Justin Tolley Stephen Kendrick,,,Alex Kendrick Priscilla Shirer Shari Rigby Jack Sterner Cameron Arnett Aryn Wright-Thompson,Paul Mills,Bob Scott,Alex Kendrick Steve Hullfish Bill Ebel,,Sony Pictures Releasing Affirm Films,"August 23, 2019",119 minutes,United States,,5 million,38 million,,Kendrick Brothers Provident Films,Alex Kendrick Stephen Kendrick,
