title,directed_by,produced_by,screenplay_by,based_on,starring,music_by,cinematography,edited_by,productioncompany,distributed_by,release_date,running_time,country,language,budget,box_office,story_by,productioncompanies,written_by,narrated_by
Dora and the Lost City of Gold,James Bobin,Kristin Burr,Nicholas StollerMatthew Robinson,Dora the Explorerby Chris GiffordValerie Walsh ValdesEric Weiner,Isabela Moner Eugenio Derbez Michael Peña Eva Longoria Adriana Barraza Danny Trejo,John DebneyGermaine Franco,Javier Aguirresarobe,Mark Everson,Paramount PlayersNickelodeon MoviesWalden MediaMedia Rights CapitalBurr! ProductionsScreen Queensland,Paramount Pictures,2019-08-09,102,USA,English,49000000.0,120700000.0,Tom WheelerNicholas Stoller,,,
The Kitchen,Andrea Berloff,Michael De Luca Marcus Viscidi,,The Kitchenby Ollie MastersMing Doyle,Melissa McCarthy Tiffany Haddish Elisabeth Moss Domhnall Gleeson James Badge Dale Brian d'Arcy James Margo Martindale Common Bill Camp,Bryce Dessner,Maryse Alberti,Christopher Tellefsen,New Line Cinema Bron Creative DC Vertigo Michael De Luca Productions,Warner Bros. Pictures,2019-08-09,103,USA,English,38000000.0,16000000.0,,,Andrea Berloff,
The Art of Racing in the Rain,Simon Curtis,Patrick Dempsey Tania Landau Neal H. Moritz,Mark Bomback,The Art of Racing in the Rainby Garth Stein,Milo Ventimiglia Amanda Seyfried Kathy Baker Martin Donovan Gary Cole,Dustin O'HalloranVolker Bertelmann,Ross Emery,Adam Recht,Fox 2000 Pictures Original Film Starbucks Entertainment Shifting Gears Productions,20th Century Fox,2019-08-09,109,USA,English,18000000.0,33800000.0,,,,Kevin Costner
Scary Stories to Tell in the Dark,André Øvredal,Guillermo del Toro Sean Daniel Jason F. Brown J. Miles Dale Elizabeth Grave,Dan Hageman Kevin Hageman,Scary Stories to Tell in the Darkby Alvin Schwartz,Zoe Colletti Michael Garza Gabriel Rush Austin Zajur Natalie Ganzhorn Austin Abrams Dean Norris Gil Bellows Lorraine Toussaint,Marco Beltrami Anna Drubich,Roman Osin,Patrick Larsgaard,CBS Films Entertainment One 1212 Entertainment Double Dare You Productions Sean Daniel Company,Lionsgate,2019-08-09,108,"USA, Canada",English,28000000.0,106000000.0,Guillermo del Toro Patrick Melton Marcus Dunstan,,,
The Peanut Butter Falcon,Tyler Nilson Michael Schwartz,Albert Berger Christopher Lemole Lije Sarki David Thies Ron Yerxa Tim Zajaros,,,Shia LaBeouf Zack Gottsagen Dakota Johnson John Hawkes Bruce Dern Jon Bernthal Thomas Haden Church,Zachary Dawes Noam Pikelny Jonathan Sadoff Gabe Witcher,Nigel Bluck,Kevin Tent Nathaniel Fuller,Armory Films Lucky Treehouse Bona Fide Productions Endeavor Content,Roadside Attractions,2019-08-09,98,USA,English,6200000.0,23300000.0,,,Tyler Nilson Michael Schwartz,
The Angry Birds Movie 2,Thurop Van Orman,John Cohen,Peter Ackerman Eyal Podell Jonathon E. Stewart,Characters from Angry Birdsby Rovio Entertainment,Jason Sudeikis Josh Gad Leslie Jones Bill Hader Rachel Bloom Awkwafina Sterling K. Brown Eugenio Derbez Tiffany Haddish Danny McBride Peter Dinklage Pete Davidson Zach Woods Dove Cameron Lil Rel Howery,Heitor Pereira,Simon Dunsdon,Kent Beyda Ally Garrett,,Sony Pictures Releasing,2019-08-14,97,"Finland, USA",English,65000000.0,154000000.0,,Columbia Pictures Sony Pictures Animation Rovio Entertainment,,
Good Boys,Gene Stupnitsky,Lee Eisenberg Evan Goldberg Seth Rogen James Weaver,,,Jacob Tremblay Keith L. Williams Brady Noon Molly Gordon Lil Rel Howery Midori Francis,Lyle Workman,Jonathan Furmanski,Daniel Gaby,,Universal Pictures,2019-08-14,89,USA,English,20000000.0,111200000.0,,Good Universe Point Grey Pictures Quantity Entertainment,Lee Eisenberg Gene Stupnitsky,
Blinded by the Light,Gurinder Chadha,Jane Barclay Gurinder Chadha Jamal Daniel,,"Greetings from Bury Park: Race, Religion and Rock N’ Rollby Sarfraz Manzoor",Viveik Kalra Kulvinder Ghir Meera Ganatra Nell Williams Aaron Phagura Dean-Charles Chapman,A. R. Rahman,Ben Smithard,Justin Krish,Levantine Films INGENIθUS Bend It Films Cornerstone Films,Entertainment One Films,2019-08-09,117,UK,English,15000000.0,18100000.0,,,Paul Mayeda Berges Gurinder Chadha Sarfraz Manzoor,
"Where'd You Go, Bernadette",Richard Linklater,Nina Jacobson Brad Simpson Ginger Sledge,Richard Linklater Holly Gent Vince Palmo,"Where'd You Go, Bernadetteby Maria Semple",Cate Blanchett Billy Crudup Kristen Wiig Judy Greer Laurence Fishburne,Graham Reynolds Sam Lipman,Shane F. Kelly,Sandra Adair,,United Artists Releasing,2019-08-16,109,USA,English,18000000.0,10400000.0,,Annapurna Pictures Color Force Detour Filmproduction,,
47 Meters Down: Uncaged,Johannes Roberts,James Harris Mark Lane Robert Jones,Johannes Roberts Ernest Riera,,Sophie Nélisse Corinne Foxx Brianne Tju Sistine Stallone Davi Santos Khylin Rhambo Brec Bassinger John Corbett Nia Long,Tomandandy,Mark Silk,Martin Brinkler,,Entertainment Studios Motion Pictures,2019-08-16,89,"States, UK",English,12000000.0,46700000.0,,The Fyzz Facility,,
Ready or Not,Matt Bettinelli-Olpin Tyler Gillett,Tripp Vinson James Vanderbilt William Sherak Bradley J. Fischer,,,Samara Weaving Adam Brody Mark O'Brien Henry Czerny Andie MacDowell,Brian Tyler,Brett Jutkiewicz,Terel Gibson,,Fox Searchlight Pictures,2019-08-21,95,USA,English,6000000.0,57600000.0,,Mythology Entertainment Vinson Films,Guy Busick R. Christopher Murphy,
Angel Has Fallen,Ric Roman Waugh,Gerard Butler Alan Siegel Matt O'Toole John Thompson Les Weldon Yariv Lerner,Robert Mark Kamen Matt Cook Ric Roman Waugh,Charactersby Creighton RothenbergerKatrin Benedikt,Gerard Butler Morgan Freeman Jada Pinkett Smith Lance Reddick Tim Blake Nelson Piper Perabo Nick Nolte Danny Huston,David Buckley,Jules O'Loughlin,Gabriel Fleming,Millennium Media G-BASE,Lionsgate,2019-08-23,121,USA,English,80000000.0,146700000.0,Creighton Rothenberger Katrin Benedikt,,,
Overcomer,Alex Kendrick,Aaron Burns Justin Tolley Stephen Kendrick,,,Alex Kendrick Priscilla Shirer Shari Rigby Jack Sterner Cameron Arnett Aryn Wright-Thompson,Paul Mills,Bob Scott,Alex Kendrick Steve Hullfish Bill Ebel,,Sony Pictures Releasing Affirm Films,2019-08-23,119,USA,,5000000.0,38000000.0,,Kendrick Brothers Provident Films,Alex Kendrick Stephen Kendrick,
Don't Let Go,Jacob Aaron Estes,Jason Blum Bobby Cohen David Oyelowo,Jacob Aaron Estes,,David Oyelow Storm Reid Byron Mann Mykelti Williamson,Ethan Gold,Sharone Meir,Scott D. Hanson Billy Fox,Blumhouse Productions Briarcliff Entertainment,OTL Releasing BH Tilt,2019-08-30,107,USA,English,5000000.0,5300000.0,Jacob Aaron Estes Drew Daywalt,,,
It Chapter Two,Andy Muschietti,Barbara Muschietti Dan Lin Roy Lee,Gary Dauberman,Itby Stephen King,Jessica Chastain James McAvoy Bill Hader Isaiah Mustafa Jay Ryan James Ransone Andy Bean Bill Skarsgård,Benjamin Wallfisch,Checco Varese,Jason Ballantine,,Warner Bros. Pictures,2019-09-06,169,USA,English,79000000.0,473100000.0,,New Line Cinema Double Dream Vertigo Entertainment Rideback,,
The Goldfinch,John Crowley,Nina Jacobson Brad Simpson,Peter Straughan,The Goldfinchby Donna Tartt,Ansel Elgort Oakes Fegley Aneurin Barnard Finn Wolfhard Sarah Paulson Luke Wilson Jeffrey Wright Nicole Kidman,Trevor Gureckis,Roger Deakins,Kelley Dixon,Amazon Studios Color Force,Warner Bros. Pictures,2019-09-13,149,USA,English,49000000.0,9900000.0,,,,
Hustlers,Lorene Scafaria,Jessica Elbaum Will Ferrell Adam McKay Elaine Goldsmith-Thomas Jennifer Lopez Benny Medina,Lorene Scafaria,"""The Hustlers at Scores""by Jessica Pressler",Constance Wu Jennifer Lopez Julia Stiles Keke Palmer Lili Reinhart Lizzo Cardi B,,Todd Banhazl,Kayla Emter,Gloria Sanchez Productions Nuyorican Productions Annapurna Pictures,STXfilms,2019-09-13,110,USA,English,20700000.0,157600000.0,,,,
Monos,Alejandro Landes,Alejandro Landes Fernando Epstein Santiago Zapata Cristina Landes,,,Julianne Nicholson Moisés Arias,Mica Levi,Jasper Wolf,Yorgos Mavropsaridis Ted Guard Santiago,,Neon (United States) Cine Colombia (Colombia),2019-09-13,103,"Colombia, USA",Spanish,2000000.0,1300000.0,,Stela Cine Participant,Alejandro Landes Alexis Dos Santos,
Ad Astra,James Gray,Brad Pitt Dede Gardner Jeremy Kleiner James Gray Arnon Milchan Anthony Katagas Rodrigo Teixeira,,,Brad Pitt Tommy Lee Jones Ruth Negga Liv Tyler Donald Sutherland,Max Richter,Hoyte van Hoytema,John Axelrad Lee Haugen,,20th Century Fox(Worldwide) Polybona Films(China),2019-09-20,124,USA,English,100000000.0,135400000.0,,Regency Enterprises Bona Film Group New Regency Plan B Entertainment RT Features Keep Your Head Productions MadRiver Pictures TSG Entertainment,James Gray Ethan Gross,
Downton Abbey,Michael Engler,Julian Fellowes Gareth Neame Liz Trubridge,Julian Fellowes,Downton Abbeyby Julian Fellowes,Hugh Bonneville Jim Carter Michelle Dockery Elizabeth McGovern Maggie Smith Imelda Staunton Penelope Wilton,John Lunn,Ben Smithard,Mark Day,Perfect World Pictures Focus Features Carnival Films,Universal Pictures (International)Focus Features (United States),2019-09-20,122,"UK, States",English,20000000.0,194300000.0,,,,
Rambo: Last Blood,Adrian Grünberg,Avi Lerner Kevin King Templeton Yariv Lerner Les Weldon,Matthew Cirulnick Sylvester Stallone,John Ramboby David Morrell,Sylvester Stallone Paz Vega Sergio Peris-Mencheta Adriana Barraza Yvette Monreal Genie Kim Joaquín Cosío Oscar Jaenada,Brian Tyler,Brendan Galvin,Todd E. Miller Carsten Kurpanek,,Lionsgate,2019-09-20,89,USA,English,50000000.0,91500000.0,Dan Gordon Sylvester Stallone,Millennium Media Balboa Productions Templeton Media,,
Abominable,Jill Culton,Suzanne BuirgyPeilin Chou,,,Chloe Bennet Albert Tsai Tenzing Norgay Trainor Eddie Izzard Sarah Paulson Tsai Chin Michelle Wong,Rupert Gregson-Williams,Robert Edward Crawford,Susan Fitzer,,Universal Pictures (Worldwide) Pearl Studio (China),2019-09-27,97,"USA, China",English,75000000.0,189700000.0,,DreamWorks Animation Pearl Studio,Jill Culton,
Judy,Rupert Goold,David Livingstone,Tom Edge,End of the Rainbowby Peter Quilter,Renée Zellweger Finn Wittrock Jessie Buckley Rufus Sewell Michael Gambon,Gabriel Yared,Ole Bratt Birkeland,Melanie Ann Oliver,Pathé BBC Films Calamity Films BFI,LD Entertainment & Roadside Attractions (United States) 20th Century Fox (United Kingdom),2019-10-02,118,"UK, States",English,10000000.0,43700000.0,,,,
Joker,Todd Phillips,Todd Phillips Bradley Cooper Emma Tillinger Koskoff,,Charactersby DC Comics,Joaquin Phoenix Robert De Niro Zazie Beetz Frances Conroy,Hildur Guðnadóttir,Lawrence Sher,Jeff Groth,,Warner Bros. Pictures,2019-10-04,122,USA,English,70000000.0,1074000000.0,,Warner Bros. Pictures DC Films Joint Effort Bron Creative Village Roadshow Pictures,Todd Phillips Scott Silver,
Lucy in the Sky,Noah Hawley,Reese Witherspoon Bruna Papandrea Noah Hawley John Cameron Michael Jackson,Brian C. Brown Elliott DiGuiseppi Noah Hawley,,Natalie Portman Jon Hamm Zazie Beetz Dan Stevens Colman Domingo Ellen Burstyn,Jeff Russo,Polly Morgan,Regis Kimble,Pacific Standard 26 Keys Productions TSG Entertainment,Fox Searchlight Pictures,2019-10-04,124,USA,English,21400000.0,325950.0,Brian C. Brown Elliott DiGuiseppi,,,
Gemini Man,Ang Lee,Jerry Bruckheimer David Ellison Dana Goldberg Don Granger,David Benioff Billy Ray Darren Lemke,,Will Smith Mary Elizabeth Winstead Clive Owen Benedict Wong,Lorne Balfe,Dion Beebe,Tim Squyres,Skydance Media Jerry Bruckheimer Films Fosun Pictures Alibaba Pictures,Paramount Pictures,2019-10-11,117,USA,English,138000000.0,173500000.0,Darren Lemke David Benioff,,,
