distro,Feature,Release Date,End Of Life,Price (US$),Image Size (MB),Free Download,Installation,Default Desktop,Package Management,Release Model,Office Suite,Processor Architecture,Init Software,Journaled File Systems,Multilingual
mint,12lisa,2011-11-26,2013-04,Free,,ISO,Graphical,GNOME,DEB,Fixed,LibreOffice,"i386, x86_64",Upstart,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
mint,11katya,2011-05-26,2012-10,Free,,ISO,Graphical,GNOME,DEB,Fixed,LibreOffice,"i386, x86_64",Upstart,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
mint,10julia,2010-11-12,2012-04,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,"i386, x86_64",Upstart,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
mint,9isadora,2010-05-18,2013-04,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,"i386, x86_64",Upstart,"ext3, ext4, JFS, ReiserFS, XFS",Yes
mint,8helena,2009-11-28,2011-04,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,"i386, x86_64",Upstart,"ext3, ext4, JFS, ReiserFS, XFS",Yes
mint,7gloria,2009-05-26,2010-10,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,"i386, x86_64",Upstart,"ext3, ext4, JFS, ReiserFS, XFS",Yes
mint,6felicia,2008-12-15,2010-04,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,"i386, x86_64",Upstart,"ext3, JFS, ReiserFS, XFS",Yes
mint,5elyssa,2008-06-08,2011-04,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,"i386, x86_64",Upstart,"ext3, JFS, ReiserFS, XFS",Yes
mint,4.0daryna,2007-11-15,2009-04,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,i386,Upstart,"ext3, JFS, ReiserFS, XFS","en, es, fr, gr, se, tr"
mint,3.1celena,2007-09-24,2008-10,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,i386,Upstart,"ext3, JFS, ReiserFS, XFS","en, es, fr, gr, se, tr"
mint,3.0cassandra,2007-05-30,2008-10,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,i386,Upstart,"ext3, JFS, ReiserFS, XFS","en, es, fr, gr, se, tr"
mint,2.2bianca,2007-02-21,2008-04,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,i386,Upstart,"ext3, JFS, ReiserFS, XFS","en, es, fr, gr, se, tr"
mint,2.1bea,2006-12-20,2008-04,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,i386,Upstart,"ext3, JFS, ReiserFS, XFS",
mint,2.0barbara,2006-11-14,2008-04,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,i386,Upstart,"ext3, JFS, ReiserFS, XFS",
mint,Feature,Release Date,End Of Life,Price (US$),Image Size (MB),Free Download,Installation,Default Desktop,Package Management,Release Model,Office Suite,Processor Architecture,Init Software,Journaled File Systems,Multilingual
popos,20.10,2020-10-23,,Free,2200-2700,ISO,Graphical,GNOME,DEB (apt),Fixed,LibreOffice,x86_64,systemd,"Btrfs, ext4",Yes
popos,20.04,2020-04-30,,Free,2100-2500,ISO,Graphical,GNOME,DEB (apt),Fixed,LibreOffice,x86_64,systemd,"Btrfs, ext4",Yes
popos,19.10,2019-10-19,2020-07,Free,2100-2400,ISO,Graphical,GNOME,DEB (apt),Fixed,LibreOffice,x86_64,systemd,"Btrfs, ext4",Yes
popos,19.04,2019-04-20,2020-01,Free,2100-2400,ISO,Graphical,GNOME,DEB (apt),Fixed,LibreOffice,x86_64,systemd,"Btrfs, ext4",--
popos,18.10,2018-10-19,2019-07,Free,2000-2300,ISO,Graphical,GNOME,DEB (apt),Fixed,LibreOffice,x86_64,systemd,"Btrfs, ext4",--
popos,18.04,2018-04-30,,Free,1800-2100,ISO,Graphical,GNOME,"DEB (apt), Snap",Fixed,LibreOffice,x86_64,systemd,"Btrfs, ext4",--
