Distro,12 months,6 months,3 months,1 month
Kwort,34,40,55,116
UBOS,34,33,34,37
Zeroshell,33,32,33,34
Asianux,32,31,32,33
Cucumber,32,32,32,32
LliureX,32,31,32,32
LuninuX,32,34,35,34
Photon,32,32,34,35
Plop,32,32,33,34
Snal,32,65,131,168
Sophos,32,31,32,34
Source Mage,32,31,33,33
BlueOnyx,31,30,31,32
Springdale,31,31,34,40
Super Grub2,31,30,30,32
Thinstation,31,30,31,33
Elastix,30,30,31,32
ForLEx,30,29,31,32
FreedomBox,30,29,30,30
Rocks Cluster,30,30,32,36
Hanthana,29,28,29,30
LinHES,29,28,29,30
SME Server,29,32,27,28
NexentaStor,28,27,28,28
PLD,28,27,28,27
Recalbox,28,31,32,31
ToOpPy,28,27,29,29
paldo,28,27,29,30
Openwall,27,26,28,29
Securepoint,27,26,28,27
YunoHost,27,26,28,28
Baruwa,26,26,28,28
FreePBX,26,26,28,29
Pardus Topluluk,26,26,27,28
SELKS,26,26,27,27
Uruk,26,30,29,31
Webconverger,26,26,26,26
DRBL,25,23,24,26
OB2D,25,24,24,24
OSGeoLive,25,24,25,25
Omoikane,25,24,25,24
REMnux,25,48,28,29
tuxtrans,25,24,25,25
HamoniKR,13,26,28,28
Canaima,12,22,31,31
Baltix,4,7,13,34
PakOS,0,0,1,3
