Used 2014 Chevrolet Corvette Stingray Coupe,"38,590",Multiple Owners,No Accident / Damage Reported,GREAT,"34,047",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Gasoline,16 City / 27 Highway,Blue,Black
Used 2016 Ford C-MAX SEL,"14,731",One Owner,No Accident / Damage Reported,GREAT,"22,555",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,40 City / 36 Highway,Magnetic
Used 2017 Lexus CT 200h,"21,999",One Owner,Accident / Damage Reported,GREAT,"19,392",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,43 City / 40 Highway,White
Used 2017 Chevrolet Camaro LT Coupe w/ 2LT,"25,648",One Owner,No Accident / Damage Reported,GREAT,"10,400",2 wheel drive - rear,4-Cylinder Turbo,8-Speed Automatic,Gasoline,22 City / 31 Highway,Silver,Jet Black
Used 2014 Chevrolet Impala LT,"12,990",Multiple Owners,No Accident / Damage Reported,,"112,873",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,19 City / 28 Highway,Champagne Silver Metallic,Dark Titanium/Jet Black W/Sued
Used 2015 Chevrolet Traverse FWD LT w/ 2LT,"12,995",Multiple Owners,Accident / Damage Reported,GREAT,"114,027",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,17 City / 24 Highway,Silver Ice Metallic - Gray,Dark Titanium/Light Titanium C
Used 2020 MAZDA MAZDA6 Touring,"22,988",One Owner,No Accident / Damage Reported,GREAT,"4,546",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,26 City / 35 Highway,Soul Red Crystal Metallic,Black
Used 2017 Mercedes-Benz GLC 300 4MATIC,"27,988",One Owner,Accident / Damage Reported,GREAT,"24,627",All wheel drive,4-Cylinder Turbo,9-Speed Automatic,Gasoline,21 City / 28 Highway,Iridium Silver Metallic,Black
Used 2020 Chevrolet Blazer AWD LT w/ 2LT,"30,980",One Owner,No Accident / Damage Reported,GREAT,"6,482",All wheel drive,6-Cylinder,9-Speed Automatic,Gasoline,18 City / 25 Highway,Summit White,Jet Black
Used 2019 Toyota RAV4 AWD Adventure,"31,988",One Owner,No Accident / Damage Reported,GREAT,"6,234",All wheel drive,4-Cylinder,8-Speed Automatic,Gasoline,25 City / 33 Highway,Ruby Flare Pearl,Black
Certified 2017 Mercedes-Benz GLC 43 AMG 4MATIC,"43,488",One Owner,No Accident / Damage Reported,GREAT,"28,936",All wheel drive,6-Cylinder Turbo,9-Speed Automatic,Gasoline,18 City / 24 Highway,Polar White,Black
Used 2018 Nissan Altima 2.5 SV Sedan,"12,495",,,,"33,220",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,27 City / 38 Highway,Gray,Black
Used 2012 Ford Escape 4WD Hybrid,"10,521",One Owner,Accident / Damage Reported,GREAT,"73,106",4 wheel drive,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,30 City / 27 Highway,Lime Squeeze Metallic
Used 2017 Ford Focus SE Sedan,"12,676",One Owner,No Accident / Damage Reported,GREAT,"27,636",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Flexible Fuel,Information Unavailable,Oxford White,Charcoal Black
Used 2017 Ford Focus SE Sedan,"13,689",One Owner,No Accident / Damage Reported,GREAT,"16,184",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Flexible Fuel,Information Unavailable,Ruby Red Metallic Tinted Clearcoat,Charcoal Black
