,title,price,owner,accident,price_rating,mileage,drive_type,engine,transmission,fuel_type,mpg,exterior,interior
0,Used 2018 Chevrolet Malibu LT w/ 1LT,"18,488",One Owner,No Accident / Damage Reported,,"43,008",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,27 City / 36 Highway,Summit White,Jet Black W/Leather-Appointed 
1,Used 2020 Lexus LS 500 AWD,"73,991",One Owner,No Accident / Damage Reported,GREAT,641,All wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,16 City / 25 Highway,Liquid Platinum,Chateau
2,Used 2015 Dodge Challenger Scat Pack,"33,936",One Owner,No Accident / Damage Reported,GREAT,"26,827",2 wheel drive - rear,8-Cylinder,8-Speed Automatic,Gasoline,15 City / 25 Highway,Sublime Pearl Coat,Black
3,Used 2018 Dodge Journey FWD Crossroad,"18,989",One Owner,No Accident / Damage Reported,GREAT,"26,562",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,17 City / 25 Highway,Bruiser Gray Clearcoat,Black
4,Used 2020 Ford Escape 4WD SEL,"29,858",Multiple Owners,No Accident / Damage Reported,GOOD,"7,559",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,23 City / 31 Highway,Desert Gold Metallic,Ebony
5,Used 2017 Ford Explorer 4WD XLT,"26,000",One Owner,No Accident / Damage Reported,GREAT,"28,770",4 wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,16 City / 23 Highway,Shadow Black,Ebony Black
6,Certified 2020 Hyundai Venue SEL,"17,319",One Owner,No Accident / Damage Reported,GREAT,"5,475",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,30 City / 34 Highway,Black Noir Pearl,Black
7,Used 2017 Chrysler Pacifica Touring-L Plus,"20,579",One Owner,No Accident / Damage Reported,GOOD,"90,404",2 wheel drive - front,6-Cylinder,9-Speed Automatic,Gasoline,18 City / 28 Highway,Billet Silver Metallic Clearcoat,Alloy/Black
8,Certified 2018 Hyundai Santa Fe AWD Sport,"21,895",One Owner,No Accident / Damage Reported,GREAT,"11,973",All wheel drive,4-Cylinder,6-Speed Automatic,Gasoline,20 City / 26 Highway,Nightfall Blue,Beige
9,Certified 2020 Hyundai Tucson Limited,"27,995",One Owner,No Accident / Damage Reported,GREAT,"3,399",All wheel drive,4-Cylinder,6-Speed Automatic,Gasoline,21 City / 26 Highway,Gemstone Red,Black
