,year,brand,make_model,price,price_bin,price_rating,mileage,mileage_15,mpg_city,mpg_highway,combined_mpg,condition,accident,one_owner,drive_type,fuel_type,engine,engine_#,automatic,turbo,electric,transmission,trans_#,interior,exterior,color
131,2015,7,Honda CR-V AWD Touring,21816.0,6,2,44193,10,26,32,58,1,1,1,1,0,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,Beige,White Diamond Pearl,White
132,2018,7,Honda Civic Si Sedan,22832.0,7,2,13258,2,28,38,66,2,1,1,0,0,4-Cylinder Turbo,4,0,1,0,6-Speed Manual,6,Black,Red,Red
133,2016,9,Toyota Highlander Limited Platinum,30499.0,11,2,43265,10,18,24,42,1,1,0,1,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Black,Blizzard Pearl,Pearl
134,2018,9,Toyota Highlander SE,33699.0,11,2,15029,3,20,26,46,1,1,1,1,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Black,Toasted Walnut Pearl,Pearl
135,2018,7,Honda Odyssey Touring,34126.0,11,2,15742,3,19,28,47,2,0,1,0,0,6-Cylinder,6,1,0,0,10-Speed Automatic,10,Beige,Deep Scarlet Pearl,Pearl
136,2014,3,Ford Taurus SEL,14990.0,3,1,27433,5,19,28,47,1,1,0,0,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Beige,White,White
137,2013,0,Chevrolet Silverado 1500 LT,22990.0,7,2,68708,12,6,0,6,1,1,0,1,1,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Silver,N/A,N/A
138,2012,9,Toyota Tacoma 2WD Double Cab PreRunner,24990.0,8,2,28722,6,50,50,100,1,1,1,2,0,6-Cylinder,6,1,0,0,5-Speed Automatic,5,Silver,N/A,N/A
139,2011,0,Chevrolet Tahoe LTZ,24990.0,8,2,64839,12,15,21,36,1,1,1,1,1,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Black,Gray,Gray
140,2020,8,GMC Terrain AWD SLE,24115.0,8,0,8,0,25,28,53,3,1,1,1,0,4-Cylinder Turbo,4,1,1,0,9-Speed Automatic,9,Black,Quicksilver Metallic - Gray,Metallic
141,2020,7,Honda Civic LX Sedan,20288.0,6,0,5,0,30,38,68,3,1,1,0,0,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,Black,Lunar Silver,Silver
142,2017,0,Chevrolet Colorado 4x4 Crew Cab W/T,25200.0,8,2,27442,5,5,0,5,1,1,1,1,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Red,N/A,N/A
