,year,brand,make_model,price,price_bin,price_rating,mileage,mileage_15,mpg_city,mpg_highway,combined_mpg,condition,accident,one_owner,drive_type,fuel_type,engine,engine_#,automatic,turbo,electric,transmission,trans_#,interior,exterior,color
231,2020,7,Honda Odyssey Touring,41500.0,13,1,2733,1,19,28,47,1,1,1,0,0,6-Cylinder,6,1,0,0,10-Speed Automatic,10,Gray,Modern Steel Metallic,Metallic
232,2017,7,Honda Fit LX,13987.0,3,1,28360,6,33,40,73,1,1,1,0,0,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,Black,Milano Red,Red
233,2017,15,Buick Encore FWD Preferred,15895.0,3,1,26699,5,25,33,58,1,1,1,0,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Ebony,Ebony Twilight Metallic,Ebony
234,2015,9,Toyota Venza XLE,16749.0,4,2,59396,12,20,26,46,1,0,0,0,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Gray,Celestial Silver Metallic,Silver
235,2018,15,Buick Encore FWD Preferred,16880.0,4,1,16094,3,25,33,58,1,1,1,0,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Ebony,Graphite Gray Metallic,Gray
236,2016,4,Hyundai Tucson Sport,17995.0,4,2,30100,6,24,28,52,2,1,0,1,0,4-Cylinder Turbo,4,1,1,0,7-Speed Automatic,7,Black,Coliseum Gray,Gray
237,2018,0,Chevrolet Equinox AWD LT w/ 1LT,19880.0,5,2,28020,6,24,30,54,1,1,1,1,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Black,Nightfall Gray Metallic,Gray
238,2013,20,RAM 1500 Express,21595.0,6,2,82250,13,5,0,5,1,1,0,1,0,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Red,N/A,N/A
239,2020,4,Hyundai Tucson Value,21697.0,6,2,11225,2,22,25,47,1,0,1,1,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Gray,Cream White Pearl,White
240,2017,9,Toyota Sienna XLE Premium,26849.0,9,2,44363,10,19,27,46,1,1,1,0,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,N/A,Sky Blue Pearl,Blue
241,2018,12,Nissan Sentra S,13316.0,3,2,43906,10,29,37,66,1,0,1,0,0,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,N/A,Gun Metallic,Metallic
242,2014,6,Volkswagen Jetta TDI Sedan,13321.0,3,1,33611,7,29,37,66,1,1,1,0,2,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Black,Pure White,White
243,2020,6,Volkswagen Tiguan FWD S,22999.0,7,1,7226,2,22,29,51,1,1,0,0,0,4-Cylinder Turbo,4,1,1,0,8-Speed Automatic,8,Black,Black,Black
244,2019,3,Ford F150 XL,23956.0,7,2,10967,2,80,80,160,1,1,1,2,1,6-Cylinder,6,1,0,0,6-Speed Automatic,6,White,N/A,N/A
245,2010,3,Ford Flex 2WD Limited,9491.0,1,1,136920,14,17,24,41,1,1,0,0,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Black,Cinnamon Metallic,Metallic
246,2016,3,Ford Escape FWD S,13791.0,3,1,45555,10,22,30,52,1,0,1,0,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Black,Ruby Red Metallic Tinted Clearcoat,Red
247,2017,7,Honda Accord LX Sedan,15891.0,3,2,42661,10,27,36,63,1,0,0,0,0,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,Black,Modern Steel Metallic,Metallic
248,2012,3,Ford Expedition 4WD Limited,18391.0,5,1,89406,13,13,18,31,1,1,0,1,1,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Black,Tuxedo Black Metallic,Black
249,2017,7,Honda Odyssey SE,23991.0,7,1,40957,9,19,27,46,1,1,1,0,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Gray,Lunar Silver Metallic,Silver
250,2018,3,Ford Mustang Coupe,21995.0,6,2,29372,6,21,31,52,1,1,0,2,0,4-Cylinder Turbo,4,0,1,0,6-Speed Manual,6,Ebony,Ingot Silver Metallic - Silver,Ingot
251,2018,16,Jeep Cherokee 4WD Trailhawk,28995.0,10,1,7628,2,19,25,44,1,1,0,1,0,6-Cylinder,6,1,0,0,9-Speed Automatic,9,Black,Hydro Blue Pearlcoat - Blue,Blue
252,2018,9,Toyota Sienna LE,24991.0,8,1,27331,5,19,27,46,1,1,1,0,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,N/A,Silver Sky Metallic,Silver
253,2017,16,Jeep Grand Cherokee Laredo,24991.0,8,1,39914,9,18,25,43,1,1,0,1,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Black,Granite Crystal Metallic Clearcoat,Granite
254,2016,2,Dodge Challenger R/T,25991.0,8,1,58415,12,16,25,41,1,1,1,2,0,8-Cylinder,8,1,0,0,8-Speed Automatic,8,Black,Jazz Blue Pearlcoat,Blue
255,2017,0,Chevrolet Silverado 1500 LT,32491.0,11,2,42361,10,5,0,5,1,1,1,1,0,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Silver,N/A,N/A
256,2018,3,Ford F150 XLT,37491.0,12,2,24281,4,5,0,5,1,1,0,1,0,6-Cylinder Turbo,6,1,1,0,10-Speed Automatic,10,White,N/A,N/A
257,2017,13,Kia Forte LX Sedan,12141.0,2,2,47077,10,29,38,67,2,1,1,0,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Gray,Clear White,White
258,2016,2,Dodge Challenger SRT Hellcat,51491.0,14,2,17325,3,13,21,34,1,1,0,2,0,8-Cylinder Supercharged,8,0,1,0,6-Speed Manual,6,N/A,Redline Red Tricoat Pearl,Red
259,2017,23,Subaru Impreza 2.0i Premium Hatchback,16545.0,4,2,44426,10,23,27,50,1,1,0,1,0,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,Black,Ice Silver Metallic,Silver
260,2018,23,Subaru Impreza 2.0i,16735.0,4,2,24237,4,24,31,55,1,1,1,1,0,4-Cylinder,4,0,0,0,5-Speed Manual,5,Black,Crystal Black Silica,Black
261,2017,23,Subaru Legacy 2.5i Limited,19594.0,5,2,39370,9,25,34,59,1,1,1,1,0,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,Black,Carbide Gray Metallic,Gray
262,2017,23,Subaru Legacy 2.5i Limited,19859.0,5,2,35416,8,25,34,59,1,1,1,1,0,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,Black,Crystal Black Silica,Black
263,2018,7,Honda Accord 2.0T Touring,25397.0,8,2,29404,6,22,32,54,1,1,0,0,0,4-Cylinder Turbo,4,1,1,0,10-Speed Automatic,10,N/A,White,White
264,2018,23,Subaru Forester 2.5i Touring,27500.0,9,2,28523,6,26,32,58,1,0,1,1,0,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,Brown,Sepia Bronze,N/A
265,2020,24,Tesla Model 3 Standard Range Plus,39480.0,12,2,2462,1,0,0,0,1,1,1,2,4,Electric,Electric,0,0,1,Single-Speed,1,N/A,Black,Black
266,2019,0,Chevrolet Colorado LT,23500.0,7,2,9485,2,6,0,6,2,0,1,2,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Silver,N/A,N/A
267,2011,12,Nissan Juke S,8855.0,1,1,81279,13,27,32,59,1,1,0,0,0,4-Cylinder Turbo,4,1,1,0,Continuously Variable Automatic,0,Black,Chrome Silver Metallic,Silver
268,2009,7,Honda CR-V EX,9128.0,1,1,114748,14,20,26,46,1,1,1,1,0,4-Cylinder,4,1,0,0,5-Speed Automatic,5,Gray,Glacier Blue Metallic,Blue
269,2015,7,Honda Civic EX Sedan,14862.0,3,1,40515,9,29,37,66,1,1,1,0,0,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,Black,Crystal Black Pearl,Black
270,2013,7,Honda CR-V EX-L,14997.0,3,1,83001,13,23,30,53,1,0,0,0,0,4-Cylinder,4,1,0,0,5-Speed Automatic,5,Black,White Diamond Pearl,White
271,2017,16,Jeep Compass Latitude,16538.0,4,1,30057,6,21,27,48,1,1,0,0,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Gray,Bright White Clearcoat,White
272,2019,7,Honda Fit EX,17980.0,4,1,12605,2,33,40,73,2,1,1,0,0,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,Black,Orange,Orange
273,2017,7,Honda Civic EX-L Sedan,19874.0,5,1,24182,4,32,42,74,2,0,1,0,0,4-Cylinder Turbo,4,1,1,0,Continuously Variable Automatic,0,Black,Lunar,N/A
274,2018,7,Honda Civic EX-L,22550.0,7,2,22978,4,31,40,71,2,1,1,0,0,4-Cylinder Turbo,4,1,1,0,Continuously Variable Automatic,0,Black,Aegean Blue Metallic,Blue
275,2019,3,Ford Escape 4WD Titanium,26875.0,9,1,1159,0,21,27,48,1,1,0,1,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Black,Black Metallic,Black
276,2019,7,Honda Pilot AWD EX-L,34999.0,11,2,13213,2,18,26,44,2,1,1,1,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Beige,White Diamond Pearl,White
277,2021,4,Hyundai Kona AWD Limited,26640.0,9,0,5,0,26,29,55,3,1,1,1,0,4-Cylinder Turbo,4,1,1,0,7-Speed Automatic,7,Black,Sonic Silver,Silver
278,2019,12,Nissan Frontier SV,24990.0,8,2,15571,3,50,50,100,1,1,0,2,0,6-Cylinder,6,1,0,0,5-Speed Automatic,5,Gray,N/A,N/A
279,2015,7,Honda Accord Hybrid Sedan,16590.0,4,1,43621,10,0,0,0,1,1,0,0,3,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,Gray,N/A,N/A
280,2014,7,Honda Civic EX-L Coupe,16590.0,4,1,17761,3,29,37,66,1,1,1,0,0,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,Gray,Silver,Silver
281,2012,3,Ford F150 XL,16990.0,4,1,29611,6,80,80,160,1,1,0,2,0,6-Cylinder Turbo,6,1,1,0,6-Speed Automatic,6,Silver,N/A,N/A
282,2012,10,MAZDA MX-5 Miata Grand Touring Hard Top,17990.0,4,2,15997,3,21,27,48,1,1,1,2,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Beige,Red,Red
283,2011,3,Ford Ranger XLT,18990.0,5,1,23243,4,60,60,120,1,1,0,2,0,6-Cylinder,6,1,0,0,5-Speed Automatic with Overdrive,5,Silver,Information Unavailable,N/A
284,2016,3,Ford Edge AWD SEL,16995.0,4,1,88122,13,20,28,48,1,1,0,1,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,N/A,Kona Blue Metallic,Blue
285,2013,3,Ford F150 STX,22990.0,7,1,61843,12,6,0,6,1,1,1,1,1,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Gray,N/A,N/A
286,2016,10,MAZDA MX-5 Miata Grand Touring,22990.0,7,2,8056,2,27,34,61,1,1,1,2,0,4-Cylinder,4,0,0,0,6-Speed Manual,6,Black,Black,Black
287,2014,2,Dodge Challenger R/T,23990.0,7,2,23020,4,15,23,38,1,1,1,2,0,8-Cylinder,8,0,0,0,6-Speed Manual,6,Black,Red,Red
288,2017,0,Chevrolet Silverado 1500 LS,23990.0,7,2,19140,3,80,80,160,1,1,1,2,0,8-Cylinder,8,1,0,0,6-Speed Automatic,6,White,N/A,N/A
289,2014,2,Dodge Challenger R/T w/ R/T Redline Group,23990.0,7,1,42347,10,15,24,39,1,1,1,2,0,8-Cylinder,8,1,0,0,5-Speed Automatic,5,Black,Black,Black
290,2016,3,Ford F150 XLT,23990.0,7,1,2713,1,80,80,160,1,1,1,2,1,6-Cylinder,6,1,0,0,6-Speed Automatic,6,White,N/A,N/A
291,2014,3,Ford Mustang GT Premium,23990.0,7,2,55558,11,16,25,41,1,1,0,2,0,8-Cylinder,8,0,0,0,6-Speed Manual,6,Black,Black,Black
292,2017,10,MAZDA MX-5 Miata Grand Touring,24990.0,8,2,4887,1,26,33,59,1,1,0,2,0,4-Cylinder,4,0,0,0,6-Speed Manual,6,Black,White,White
293,2019,3,Ford Ranger 2WD SuperCrew,27990.0,9,2,4919,1,50,50,100,1,1,1,2,0,4-Cylinder Turbo,4,1,1,0,10-Speed Automatic,10,Gray,N/A,N/A
294,2017,20,RAM 1500 Tradesman,28990.0,10,2,24078,4,6,0,6,1,1,1,1,0,8-Cylinder,8,1,0,0,8-Speed Automatic,8,Silver,N/A,N/A
295,2015,2,Dodge Challenger R/T Plus,28990.0,10,2,15653,3,15,23,38,1,1,0,2,0,8-Cylinder,8,0,0,0,6-Speed Manual,6,Black,Silver,Silver
296,2017,20,RAM 1500 Tradesman,28990.0,10,1,21537,4,6,0,6,1,1,1,1,1,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Black,N/A,N/A
297,2017,3,Ford F150 XL,28990.0,10,1,18954,3,17,23,40,1,1,1,1,0,6-Cylinder Turbo,6,1,1,0,6-Speed Automatic,6,Gray,White,White
298,2015,0,Chevrolet Silverado 1500 LT,29590.0,10,2,33092,7,6,0,6,1,1,0,1,0,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Black,N/A,N/A
299,2015,3,Ford Mustang GT Premium,29990.0,10,2,15849,3,15,25,40,1,1,0,2,0,8-Cylinder,8,0,0,0,6-Speed Manual,6,Black,Red,Red
300,2015,0,Chevrolet Suburban 2WD LS,29990.0,10,2,63662,12,16,23,39,1,1,1,2,1,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Beige,White,White
301,2016,3,Ford F150 XLT,31990.0,11,2,12978,2,5,0,5,1,1,1,2,0,6-Cylinder Turbo,6,1,1,0,6-Speed Automatic,6,White,N/A,N/A
302,2016,0,Chevrolet Silverado 1500 4x4 Crew Cab LT,31990.0,11,2,46780,10,5,0,5,1,1,1,1,1,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Red,N/A,N/A
303,2013,3,Ford Mustang Boss 302 Coupe,32990.0,11,2,17962,3,16,25,41,1,1,0,2,0,8-Cylinder,8,0,0,0,6-Speed Manual,6,Black,Yellow,Yellow
304,2017,0,Chevrolet Silverado 1500 LT w/ Z71,32990.0,11,2,22756,4,6,0,6,1,1,1,1,0,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Black,N/A,N/A
305,2012,4,Hyundai Sonata GLS,8339.0,1,1,113344,14,24,34,58,1,1,1,0,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,N/A,Sparkling Ruby Mica,N/A
306,2020,15,Buick Encore FWD Preferred,24885.0,8,0,12,0,25,30,55,3,1,1,0,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Ebony,Ebony Twilight Metallic - Black,Ebony
307,2017,20,RAM 1500 SLT,32990.0,11,2,11721,2,5,0,5,1,1,1,1,0,8-Cylinder,8,1,0,0,8-Speed Automatic,8,White,N/A,N/A
308,2018,16,Jeep Wrangler 4WD Unlimited Sport,32990.0,11,2,8075,2,17,23,40,1,1,1,1,0,6-Cylinder,6,0,0,0,6-Speed Manual,6,Black,Black,Black
309,2018,16,Jeep Wrangler 4WD Unlimited Sport,33990.0,11,2,6072,1,17,23,40,1,1,1,1,0,6-Cylinder,6,0,0,0,6-Speed Manual,6,Black,Black,Black
310,2019,3,Ford F150 XL,35990.0,12,2,988,0,5,0,5,1,1,0,1,0,6-Cylinder Turbo,6,1,1,0,10-Speed Automatic,10,Gray,N/A,N/A
311,2014,0,Chevrolet Corvette Stingray Coupe,38590.0,12,2,35231,8,16,27,43,1,1,1,2,0,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Black,Red,Red
312,2020,20,RAM ProMaster City Tradesman,24602.0,8,0,10,0,21,28,49,3,1,1,0,0,4-Cylinder,4,1,0,0,9-Speed Automatic,9,Black,Bright White,White
313,2019,9,Toyota 4Runner Limited,43990.0,13,2,10260,2,17,20,37,1,1,1,1,0,6-Cylinder,6,1,0,0,5-Speed Automatic,5,Black,Gray,Gray
314,2014,9,Toyota Prius V,11831.0,2,2,87825,13,0,0,0,1,1,1,0,3,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,Pearl,N/A,N/A
315,2016,4,Hyundai Tucson SE,15920.0,3,2,42673,10,21,26,47,1,1,0,1,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Black,Beige,Beige
316,2016,13,Kia Sedona LX w/ LX Convenience Package,16920.0,4,2,51222,11,18,24,42,1,1,0,0,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Beige,Gold,Gold
317,2015,16,Jeep Grand Cherokee Laredo,21900.0,6,1,30203,6,17,24,41,1,1,1,1,1,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Black,Black,Black
318,2014,9,Toyota Tundra Limited,30852.0,11,1,70198,12,5,0,5,1,1,0,2,0,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Silver,N/A,N/A
319,2014,0,Chevrolet Impala LT w/ Premium Seating Package,13988.0,3,1,89326,13,19,29,48,1,1,1,0,1,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Black,Silver Ice Metallic,Silver
320,2011,3,Ford Fusion SE,7489.0,1,1,114313,14,0,0,0,1,1,0,0,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Black,Steel Blue Metallic,Blue
321,2006,3,Ford F150 XLT,8989.0,1,1,195634,14,14,18,32,1,0,0,1,0,8-Cylinder,8,1,0,0,4-Speed Automatic,4,N/A,Silver Clearcoat Metallic,Silver
322,2013,0,Chevrolet Impala LT,8993.0,1,1,95525,14,0,0,0,1,0,0,0,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Ebony,Summit White,White
323,2009,9,Toyota Sienna Limited,9944.0,1,1,125329,14,17,23,40,1,0,0,0,0,6-Cylinder,6,1,0,0,5-Speed Automatic,5,N/A,Black,Black
324,2017,3,Ford Focus SE Sedan,12598.0,2,1,41290,9,0,0,0,1,1,1,0,1,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Black,Ingot Silver Metallic,Ingot
325,2011,14,Lincoln MKX AWD,12971.0,2,1,93912,14,17,23,40,1,0,0,1,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,N/A,Tuxedo Black Metallic,Black
326,2019,3,Ford Fiesta SE Sedan,13589.0,3,1,13078,2,27,37,64,1,1,1,0,0,4-Cylinder,4,1,0,0,6-Speed Shiftable Automatic,6,Black,Shadow Black,Black
327,2018,3,Ford Focus SE Sedan,13995.0,3,1,23512,4,0,0,0,1,1,1,0,1,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Black,White Gold Metallic,White
328,2015,4,Hyundai Genesis Coupe 3.8,15695.0,3,1,65950,12,16,24,40,1,0,0,2,0,6-Cylinder,6,0,0,0,6-Speed Manual,6,Black,Ibiza Blue,Blue
329,2014,3,Ford Explorer 4WD,15989.0,3,1,84916,13,17,23,40,1,1,1,1,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,N/A,Ruby Red Metallic Tinted Clearcoat,Red
330,2013,3,Ford Explorer 4WD XLT,15989.0,3,1,93985,14,17,23,40,1,1,1,1,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,N/A,White Platinum Metallic Tri-Coat,White
331,2018,15,Buick Encore FWD Preferred,16590.0,4,1,23567,4,25,33,58,1,1,1,0,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Ebony,Ebony Twilight Metallic,Ebony
332,2015,14,Lincoln MKX AWD,18695.0,5,1,70072,12,17,23,40,1,1,0,1,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,N/A,Ruby Red Metallic Tinted Clearcoat,Red
333,2020,4,Hyundai Sonata SEL,26179.0,9,0,0,0,27,37,64,3,1,1,0,0,4-Cylinder,4,1,0,0,8-Speed Automatic,8,Gray,Calypso Red,Red
334,2020,14,Lincoln Nautilus AWD Premier,39975.0,12,1,1681,0,20,25,45,1,1,1,1,0,4-Cylinder Turbo,4,1,1,0,8-Speed Automatic,8,N/A,Iced Mocha,Mocha
335,2018,3,Ford Taurus SE,18989.0,5,1,25595,5,18,27,45,1,1,0,0,1,6-Cylinder,6,1,0,0,6-Speed Automatic,6,N/A,White Gold Metallic,White
336,2017,3,Ford Explorer 4WD,22986.0,7,1,37976,9,18,25,43,1,1,1,1,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,N/A,Blue Jeans Metallic,Blue
337,2012,3,Ford F150 XLT,22995.0,7,0,107060,14,14,19,33,1,1,0,1,0,6-Cylinder Turbo,6,1,1,0,6-Speed Automatic,6,Gray,Ingot Silver Metallic,Ingot
338,2013,3,Ford F150 FX4,26689.0,9,1,95926,14,14,19,33,1,0,0,1,0,6-Cylinder Turbo,6,1,1,0,6-Speed Automatic,6,Black,Oxford White,White
339,2018,16,Jeep Grand Cherokee Laredo,27773.0,9,1,26261,5,18,25,43,1,1,1,1,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Beige,Velvet Red Pearlcoat,Red
340,2020,8,GMC Terrain FWD SLE,20340.0,6,0,6,0,26,30,56,3,1,1,0,0,4-Cylinder Turbo,4,1,1,0,9-Speed Automatic,9,Black,Satin Steel Metallic - Gray,Metallic
341,2019,3,Ford Edge FWD SEL,27995.0,9,1,14079,3,22,29,51,1,0,1,0,0,4-Cylinder Turbo,4,1,1,0,8-Speed Automatic,8,Ebony,Ingot Silver Metallic,Ingot
342,2014,3,Ford F150 SuperCrew Limited,29989.0,10,1,72390,13,5,0,5,1,1,0,1,0,6-Cylinder Turbo,6,1,1,0,6-Speed Automatic,6,Ingot,N/A,N/A
343,2019,3,Ford Mustang GT Coupe,34917.0,11,1,10701,2,0,0,0,1,1,1,2,0,8-Cylinder,8,0,0,0,Information Unavailable,0,Ebony,Velocity Blue Metallic,Blue
344,2019,2,Dodge Charger R/T Scat Pack,43989.0,13,1,11104,2,15,24,39,1,1,1,2,0,8-Cylinder,8,1,0,0,8-Speed Automatic,8,Red,White Knuckle Clearcoat,White
345,2019,12,Nissan Armada 4WD Platinum,49872.0,13,1,12145,2,13,18,31,1,1,1,1,0,8-Cylinder,8,1,0,0,7-Speed Automatic,7,N/A,Super Black,Black
346,2016,16,Jeep Renegade FWD Sport w/ Power & Air Group,10850.0,2,2,65922,12,24,31,55,1,1,1,0,0,4-Cylinder Turbo,4,0,1,0,6-Speed Manual,6,Black,Omaha Orange,Orange
347,2018,2,Dodge Grand Caravan SE,13250.0,3,2,73658,13,17,25,42,1,1,1,0,1,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Black,Granite Pearlcoat,Granite
348,2018,3,Ford Focus SE Hatchback,13875.0,3,1,22983,4,26,38,64,1,1,1,0,1,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Black,Oxford White,White
349,2019,6,Volkswagen Jetta S,15250.0,3,2,16939,3,30,39,69,1,1,1,0,0,4-Cylinder Turbo,4,1,1,0,8-Speed Automatic,8,Gray,Blue Silk Metallic,Blue
350,2018,2,Dodge Journey FWD SE,15500.0,3,2,45992,10,19,25,44,1,1,1,0,0,4-Cylinder,4,1,0,0,4-Speed Automatic,4,Black,Contusion Blue Pearlcoat,Blue
351,2019,16,Jeep Compass Limited,18665.0,5,2,45866,10,22,31,53,1,1,1,0,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Black,Redline Pearlcoat,Red
352,2019,2,Dodge Journey AWD Crossroad,20000.0,5,2,30985,7,16,24,40,2,1,1,1,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Black,Pitch Black Clearcoat,Black
353,2019,16,Jeep Compass 4WD Trailhawk,20250.0,6,2,44662,10,22,30,52,2,0,1,1,0,4-Cylinder,4,1,0,0,9-Speed Automatic,9,Red,Billet Silver Metallic Clearcoat,Silver
354,2018,6,Volkswagen Tiguan SEL,21000.0,6,2,38141,9,22,27,49,1,1,1,0,0,4-Cylinder Turbo,4,1,1,0,8-Speed Automatic,8,Black,Silk Blue Metallic,Blue
355,2019,2,Dodge Charger SXT,23000.0,7,2,33008,7,19,30,49,2,1,1,2,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Black,Triple Nickel Clearcoat,Nickel
356,2019,0,Chevrolet Traverse FWD LT,23500.0,7,2,90099,13,18,27,45,1,0,1,0,0,6-Cylinder,6,1,0,0,9-Speed Automatic,9,Black,Silver Ice Metallic,Silver
357,2017,25,Audi A6 2.0T Premium quattro,27750.0,9,1,30424,6,22,31,53,1,1,1,1,0,4-Cylinder Turbo,4,1,1,0,8-Speed Automatic,8,Brown,Moonlight Blue Metallic,Blue
358,2017,16,Jeep Grand Cherokee 4WD Limited,28500.0,10,1,35857,8,18,25,43,1,1,1,1,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Beige,Diamond Black Crystal Pearlcoat,Black
359,2017,1,Lexus IS 300 AWD,28550.0,10,1,39967,9,19,26,45,1,1,1,1,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,N/A,N/A,N/A
360,2017,16,Jeep Grand Cherokee Altitude,29500.0,10,1,33281,7,18,25,43,1,1,1,1,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Black,Diamond Black Crystal Pearlcoat,Black
361,2018,3,Ford F150 4x4 SuperCrew,37495.0,12,0,89211,13,5,0,5,1,1,1,1,0,6-Cylinder Turbo,6,1,1,0,10-Speed Automatic,10,White,N/A,N/A
362,2020,7,Honda CR-V AWD LX,26049.0,9,0,5,0,27,32,59,3,1,1,1,0,4-Cylinder Turbo,4,1,1,0,Continuously Variable Automatic,0,N/A,Platinum White Pearl,White
363,2019,3,Ford Ranger XLT,30000.0,10,2,38085,9,50,50,100,1,1,1,1,0,4-Cylinder Turbo,4,1,1,0,10-Speed Automatic,10,White,N/A,N/A
364,2019,16,Jeep Grand Cherokee Limited,30000.0,10,2,25946,5,18,25,43,2,0,1,1,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Black,Billet Silver Metallic Clearcoat,Silver
365,2017,1,Lexus RX 350 AWD,34375.0,11,1,40000,9,19,26,45,1,1,1,1,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Black,Nebula Gray Pearl,Gray
366,2019,3,Ford Expedition Max 4WD XLT,37000.0,12,2,60614,12,16,21,37,1,1,1,1,0,6-Cylinder Turbo,6,1,1,0,10-Speed Automatic,10,Ebony,Black,Black
367,2019,20,RAM 1500 4x4 Crew Cab Big Horn,38000.0,12,2,24608,5,6,0,6,1,1,1,1,0,8-Cylinder,8,1,0,0,8-Speed Automatic,8,Granite,N/A,N/A
368,2019,26,Volvo XC90 AWD T6 Momentum,39000.0,12,2,30846,7,19,26,45,1,0,0,1,0,4-Cylinder Turbo,4,1,1,0,8-Speed Automatic,8,N/A,Ice White,White
369,2012,7,Honda Odyssey EX-L,10585.0,2,2,145461,14,18,27,45,1,1,1,0,0,6-Cylinder,6,1,0,0,5-Speed Automatic,5,Gray,Taffeta White,White
370,2014,4,Hyundai Santa Fe FWD Sport,14288.0,3,1,73358,13,20,27,47,1,1,1,0,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Gray,Mineral Gray,Gray
371,2015,4,Hyundai Santa Fe FWD Sport w/ Option Group 02,14895.0,3,1,65671,12,20,27,47,1,0,0,0,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Gray,Mineral Gray,Gray
372,2018,4,Hyundai Sonata SEL,14995.0,3,1,68038,12,25,35,60,1,1,1,0,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Gray,Symphony Silver,Silver
373,2014,25,Audi Q5 2.0T Premium,18795.0,5,0,57798,11,20,27,47,1,1,0,1,1,4-Cylinder Turbo,4,1,1,0,8-Speed Automatic,8,Black,Brilliant Black,Black
374,2017,4,Hyundai Santa Fe AWD Sport,18895.0,5,1,39212,9,20,26,46,1,1,1,1,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Beige,Red,Red
