,0,1,2,3,4,5,6,7,8,9
918,Used 2020 Toyota Camry LE,"26,900","9,286",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,51 City / 53 Highway,Ruby Flare Pearl
919,Used 2019 Toyota Camry XLE,"28,900","7,620",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,44 City / 47 Highway,Ruby Flare Pearl
920,Used 2020 Toyota Avalon Touring,"37,500","4,067",2 wheel drive - front,6-Cylinder,8-Speed Automatic,Gasoline,22 City / 31 Highway,Ruby Flare Pearl,Black
921,Used 2020 Toyota Highlander AWD XLE V6,"38,900","2,023",All wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,20 City / 27 Highway,Moon Dust,Gray
923,Certified 2017 Chevrolet Colorado Z71,"27,950","29,503",4 wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,"6'2""",17 City / 24 Highway,Red Hot
924,Used 2012 Toyota FJ Cruiser 4WD,"27,950","63,776",4 wheel drive,6-Cylinder,5-Speed Automatic,Gasoline,17 City / 20 Highway,Silver,Dark Charcoal
925,Certified 2015 GMC Sierra 1500 SLT,"33,950","26,233",4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,"6'7""",16 City / 22 Highway,Onyx Black
926,Used 2018 Jeep Compass 4WD Limited,"22,000","19,094",4 wheel drive,4-Cylinder,9-Speed Automatic,Gasoline,22 City / 30 Highway,Rhino Clearcoat - Gray,Black Leather
927,Used 2017 Dodge Charger SXT,"25,500","6,205",2 wheel drive - rear,6-Cylinder,8-Speed Automatic,Gasoline,19 City / 30 Highway,Billet Clearcoat - Silver,Black Cloth
928,New 2021 Chevrolet Silverado 1500 4x4 Crew Cab LTZ,"45,335",0,4 wheel drive,8-Cylinder,8-Speed Automatic,Gasoline,"5'10""",16 City / 22 Highway,Black - Black
929,Used 2014 Chevrolet Silverado 1500 4x4 Crew Cab High Country,"34,990","61,551",4 wheel drive,8-Cylinder,6-Speed Automatic,Flexible Fuel,"5'10""",16 City / 22 Highway,White Diamond Tricoat
930,Used 2020 Dodge Charger R/T,"34,500","3,763",2 wheel drive - rear,8-Cylinder,8-Speed Automatic,Gasoline,16 City / 25 Highway,Triple Nickel Clearcoat - Silver,Black Cloth
931,Used 2017 RAM 1500 4x4 Crew Cab Laramie,"36,500","27,271",4 wheel drive,8-Cylinder,8-Speed Automatic,Gasoline,"5'8""",15 City / 21 Highway,Flame Red Clearcoat - Red
932,Used 2016 Ford Fiesta S Hatchback,"8,500","14,784",2 wheel drive - front,4-Cylinder,Automatic,Gasoline,27 City / 36 Highway,Ingot Silver Metallic - Silver,Charcoal Black Cloth
933,Used 2017 Lincoln Continental Select,"30,000","20,348",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,17 City / 26 Highway,White Platinum Tri-Coat - White,Cappuccino Leather
934,Used 2017 GMC Sierra 1500 4x4 Double Cab SLE,"32,000","26,766",4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,"6'7""",16 City / 22 Highway,Onyx Black - Black
937,Used 2018 Toyota Tundra 4x4 CrewMax SR5,"40,500","10,952",4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,"5'6""",13 City / 17 Highway,Midnight Black Metallic - Black
938,Used 2020 Cadillac XT6 FWD Premium Luxury,"47,500","4,760",2 wheel drive - front,6-Cylinder,9-Speed Automatic,Gasoline,18 City / 25 Highway,Crystal White Tricoat - White,Cirrus Leather
939,Used 2015 Chevrolet Sonic RS Hatchback,"9,489","85,916",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,25 City / 33 Highway,Black Granite Metallic,Jet Black
940,Used 2014 Toyota Camry SE,"9,649","149,632",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,25 City / 34 Highway,Cosmic Gray Mica,Black
941,Used 2016 Ford Focus SE Sedan,"9,995","68,075",2 wheel drive - front,4-Cylinder,6-Speed Shiftable Automatic,Flexible Fuel,Information Unavailable,Shadow Black,Medium Light Stone
942,Used 2015 Chevrolet Equinox FWD LT w/ 1LT,"10,588","123,937",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,22 City / 31 Highway,Black Granite Metallic,Jet Black
943,Used 2013 Hyundai Veloster RE:MIX Edition,"10,989","84,113",2 wheel drive - front,4-Cylinder,6-Speed Manual,Gasoline,27 City / 37 Highway,Triathlon Gray Metallic,Black
944,Used 2013 Ford Edge AWD SEL,"11,978","116,114",All wheel drive,6-Cylinder,6-Speed Shiftable Automatic,Gasoline,18 City / 25 Highway,Tuxedo Black Metallic,Medium Light Stone
945,Used 2016 Ford Fusion SE,"11,995","94,143",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,22 City / 34 Highway,Deep Impact Blue,Ebony
946,Used 2019 Ford Fiesta SE Sedan,"12,995","15,008",2 wheel drive - front,4-Cylinder,6-Speed Shiftable Automatic,Gasoline,27 City / 37 Highway,Ingot Silver Metallic,Charcoal Black
947,Used 2018 Ford Escape FWD S,"14,361","55,660",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Flexible Fuel,21 City / 29 Highway,Ingot Silver Metallic,Charcoal Black
948,Used 2018 Ford EcoSport 4WD S,"14,406","49,020",4 wheel drive,4-Cylinder,6-Speed Automatic,Gasoline,23 City / 29 Highway,Moondust Silver Metallic,Medium Stone
949,Used 2015 Hyundai Sonata Sport 2.0T,"14,589","72,656",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,22 City / 31 Highway,Quartz White Pearl,Black
950,Used 2018 Ford Escape FWD S,"14,589","70,129",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Flexible Fuel,21 City / 29 Highway,Cinnamon Glaze Metallic,Charcoal Black
951,Used 2018 Chevrolet Malibu Hybrid,"14,850","74,738",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,49 City / 43 Highway,Mosaic Black Metallic
952,Used 2017 Ford Escape FWD SE,"14,889","87,816",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,22 City / 29 Highway,Ruby Red Metallic Tinted Clearcoat,Charcoal Black
953,Used 2017 Ford Fusion SE Hybrid,"14,995","51,788",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,43 City / 41 Highway,Ruby Red Metallic Tinted Clearcoat
954,Used 2020 Kia Forte Sedan,"15,977","12,609",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,31 City / 41 Highway,Clear White,Black
955,Used 2015 Toyota RAV4 AWD Limited,"15,989","139,447",All wheel drive,4-Cylinder,6-Speed Automatic,Gasoline,22 City / 28 Highway,Barcelona Red Metallic,Ash
956,Used 2019 Chevrolet Malibu LT w/ 1LT,"16,713","40,972",2 wheel drive - front,4-Cylinder Turbo,Continuously Variable Automatic,Gasoline,29 City / 36 Highway,Summit White,Dark Atmosphere/Medium Ash Gra
957,New 2020 Honda CR-V AWD EX,"28,493",5,All wheel drive,4-Cylinder Turbo,Continuously Variable Automatic,Gasoline,27 City / 32 Highway,Lunar Silver Metallic,Gray
958,Used 2015 GMC Yukon 4x4 Denali,"39,990","80,004",4 wheel drive,8-Cylinder,8-Speed Automatic,Gasoline,15 City / 21 Highway,Crystal Red Tintcoat,Jet Black W/Perforated Leather
959,Used 2018 Ford Fusion SE,"16,989","39,667",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,23 City / 34 Highway,Magnetic Metallic,Ebony
960,Used 2019 Ford Fusion SE,"17,446","25,038",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,23 City / 34 Highway,Velocity Blue Metallic,Medium Light Stone
961,Used 2011 Ford E-350 and Econoline 350 Super Duty,"17,988","133,583",2 wheel drive - rear,8-Cylinder,Automatic,Flexible Fuel,12 City / 16 Highway,Oxford White,Medium Flint
962,Used 2014 Ford Expedition 4WD Limited,"18,638","125,750",4 wheel drive,8-Cylinder,6-Speed Automatic,Flexible Fuel,13 City / 18 Highway,Kodiak Brown Metallic,Stone
963,Used 2016 Buick Enclave FWD Leather,"18,644","95,388",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,15 City / 22 Highway,Quicksilver Metallic,Ebony
964,New 2020 Buick Enclave FWD Essence,"42,630",7,2 wheel drive - front,6-Cylinder,9-Speed Automatic,Gasoline,18 City / 26 Highway,White Frost Tricoat - White,Shale With Ebony
965,Used 2017 Acura TLX,"18,995","55,069",2 wheel drive - front,4-Cylinder,8-Speed Automatic,Gasoline,24 City / 35 Highway,Crystal Black Pearl,Espresso
966,Used 2019 Ford Fusion Titanium,"19,989","44,293",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,21 City / 31 Highway,Oxford White,Ebony
967,Used 2019 Jeep Renegade 4WD Latitude,"20,977","14,624",4 wheel drive,4-Cylinder,9-Speed Automatic,Gasoline,21 City / 29 Highway,Granite Crystal Metallic Clearcoat,Black
968,Used 2017 Ford Mustang Premium,"22,960","45,093",2 wheel drive - rear,4-Cylinder Turbo,6-Speed Automatic,Gasoline,Information Unavailable,Ruby Red Metallic Tinted Clearcoat,Ebony
969,Used 2018 Honda CR-V AWD EX-L,"24,335","60,771",All wheel drive,4-Cylinder Turbo,Continuously Variable Automatic,Gasoline,27 City / 33 Highway,White Diamond Pearl,Ivory
970,Used 2019 Ford F150 XL,"24,919","15,564",2 wheel drive - rear,6-Cylinder,6-Speed Automatic,Flexible Fuel,19 City / 25 Highway,Ingot Silver Metallic,Dark Earth Gray
971,Used 2017 Ford Explorer 4WD XLT,"26,800","50,780",4 wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,16 City / 23 Highway,Oxford White,Ebony Black
972,Used 2015 GMC Yukon 4WD SLT w/ Open Road Package,"28,977","125,580",4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,16 City / 22 Highway,Quicksilver Metallic,Jet Black
973,Used 2018 Ford F150 XLT,"29,520","90,415",4 wheel drive,8-Cylinder,10-Speed Automatic,Flexible Fuel,18 City / 23 Highway,Oxford White,Medium Earth Gray
974,Used 2018 Honda Odyssey Touring,"32,601","46,993",2 wheel drive - front,6-Cylinder,10-Speed Automatic,Gasoline,19 City / 28 Highway,White Diamond Pearl,Gray
975,Used 2018 Ford F150 XLT,"32,957","65,129",4 wheel drive,8-Cylinder,10-Speed Automatic,Flexible Fuel,18 City / 23 Highway,Oxford White,Medium Earth Gray
976,Used 2018 Ford F150 XL,"33,995","54,170",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"5'6""",18 City / 23 Highway,Ingot Silver Metallic
977,Used 2018 BMW 440i Gran Coupe xDrive,"35,989","33,694",All wheel drive,6-Cylinder Turbo,8-Speed Automatic,Gasoline,21 City / 31 Highway,Alpine White,Black
978,Used 2018 Ford F150 Lariat,"37,986","77,538",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,18 City / 23 Highway,Magnetic Metallic,Black
979,Used 2016 Ford F350 Lariat,"42,589","130,487",4 wheel drive,8-Cylinder Turbo,6-Speed Automatic,Diesel,Information Unavailable,Shadow Black,Black
980,Used 2018 Toyota Tundra 1794 Edition,"44,980","55,931",4 wheel drive,8-Cylinder,6-Speed Automatic,Flexible Fuel,"5'6""",13 City / 17 Highway,Midnight Black Metallic
981,Used 2019 Jeep Wrangler 4WD Unlimited Sahara,"44,989","23,970",4 wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,18 City / 23 Highway,Bright White Clearcoat,Black
982,Used 2017 Ford F250 XLT,"45,955","72,721",4 wheel drive,8-Cylinder Turbo,6-Speed Automatic,Diesel,Information Unavailable,Ruby Red Metallic Tinted Clearcoat,Camel
983,Used 2019 Ford F250 XLT,"46,997","38,644",4 wheel drive,8-Cylinder,6-Speed Automatic,Flexible Fuel,Information Unavailable,Agate Black Metallic,Medium Earth Gray
984,Used 2018 Ford F150 SuperCrew Limited,"48,662","34,432",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"5'6""",17 City / 23 Highway,Shadow Black
985,Used 2018 Chevrolet Malibu LT w/ 1LT,"18,488","43,008",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,27 City / 36 Highway,Summit White,Jet Black W/Leather-Appointed 
986,New 2020 Ford Fusion SE,"24,000",0,2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,23 City / 34 Highway,Rapid Red Metallic Tinted Clearcoat - Red,Medium Light Stone Cloth
987,Used 2019 Ford F350 Lariat,"59,899","78,325",4 wheel drive,8-Cylinder Turbo,6-Speed Automatic,Diesel,8',Information Unavailable,White Platinum Metallic Tri-Coat
988,Used 2017 Ford F250 Platinum,"59,989","65,951",4 wheel drive,8-Cylinder Turbo,6-Speed Automatic,Diesel,Information Unavailable,Shadow Black,Black/Brunello
989,Used 2017 Dodge Journey SXT,"12,777","92,879",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,17 City / 25 Highway,Granite Pearlcoat,Black
990,Used 2019 Ford Edge AWD SEL,"25,500","43,579",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,21 City / 28 Highway,Oxford White,Ebony
991,Used 2019 GMC Acadia AWD SLT w/ SLT-1,"27,778","70,521",All wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,17 City / 25 Highway,Ebony Twilight Metallic,Jet Black
992,Certified 2017 Chevrolet Silverado 1500 4x4 Crew Cab LTZ,"36,795","41,065",4 wheel drive,8-Cylinder,8-Speed Automatic,Gasoline,"5'10""",15 City / 20 Highway,Black - Black
993,Used 2019 Jeep Cherokee 4WD Trailhawk,"28,500","16,758",4 wheel drive,6-Cylinder,9-Speed Automatic,Gasoline,18 City / 24 Highway,Diamond Black Crystal Pearlcoat,Black
994,Used 2019 Jeep Cherokee 4WD Trailhawk,"28,500","18,533",4 wheel drive,6-Cylinder,9-Speed Automatic,Gasoline,18 City / 24 Highway,Hydro Blue Pearlcoat,Black
995,Used 2018 Jeep Grand Cherokee Laredo,"29,250","20,048",4 wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,18 City / 25 Highway,Granite Crystal Metallic Clearcoat,Black
996,Used 2018 Chevrolet Silverado 1500 LT,"29,675","68,506",4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,"6'7""",17 City / 22 Highway,Red Hot
997,Used 2018 Ford F150 XLT,"30,750","89,835",4 wheel drive,8-Cylinder,10-Speed Automatic,Flexible Fuel,18 City / 23 Highway,Ruby Red Metallic Tinted Clearcoat,Black
998,Used 2019 Ford Edge AWD ST,"32,000","14,133",All wheel drive,6-Cylinder Turbo,8-Speed Automatic,Gasoline,19 City / 26 Highway,Agate Black Metallic,Ebony
999,Used 2019 Jeep Wrangler 4WD Unlimited Sahara,"41,000","22,137",4 wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,22 City / 24 Highway,Black Clearcoat,Black
1000,Used 2019 Ford F250 Lariat,"57,750","60,859",4 wheel drive,8-Cylinder Turbo,6-Speed Automatic,Diesel,Information Unavailable,Brown,Medium Light Camel
1001,Used 2012 Hyundai Sonata GLS,"8,395","113,344",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,24 City / 34 Highway,Sparkling Ruby Mica,Camel
1002,Used 2015 Ford Taurus SEL,"12,491","89,428",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,19 City / 28 Highway,Magnetic Metallic,Charcoal Black
1003,Used 2019 Hyundai Accent SE,"13,295","32,215",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,28 City / 38 Highway,Admiral Blue Pearl,Black
1004,Used 2016 Hyundai Tucson Sport,"13,883","97,731",2 wheel drive - front,4-Cylinder Turbo,7-Speed Automatic,Gasoline,25 City / 30 Highway,Ash Black,Black
1005,Used 2018 Chevrolet Cruze LT Hatchback,"14,919","33,877",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,29 City / 40 Highway,Nightfall Gray Metallic,Jet Black
1006,Used 2017 GMC Terrain AWD SLE w/ SLE-1,"18,919","32,781",All wheel drive,4-Cylinder,6-Speed Automatic,Gasoline,20 City / 28 Highway,Graphite Gray Metallic,Jet Black
1007,Used 2017 GMC Terrain AWD SLE w/ SLE-1,"18,989","32,595",All wheel drive,4-Cylinder,6-Speed Automatic,Gasoline,20 City / 28 Highway,Onyx Black,Jet Black
1008,Certified 2017 Hyundai Tucson Value,"20,369","23,968",All wheel drive,4-Cylinder Turbo,7-Speed Automatic,Gasoline,24 City / 28 Highway,Coliseum Gray,Gray
1009,Used 2017 Chrysler Pacifica Touring-L Plus,"20,580","90,404",2 wheel drive - front,6-Cylinder,9-Speed Automatic,Gasoline,18 City / 28 Highway,Billet Silver Metallic Clearcoat,Alloy/Black
1011,Used 2017 Chevrolet Spark LS,"12,525","35,547",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,30 City / 38 Highway,Silver,Jet Black/Beige Trim
1012,Used 2018 Dodge Grand Caravan SE,"15,873","62,575",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,17 City / 25 Highway,Indigo Blue Clearcoat,Black
1013,Used 2019 Buick Encore AWD Essence,"23,990","15,151",All wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,24 City / 29 Highway,White Frost Tricoat,Shale/Ebony Accents W/Leather-
1014,Used 2018 Jeep Cherokee 4WD Trailhawk,"28,995","7,628",4 wheel drive,6-Cylinder,9-Speed Automatic,Gasoline,19 City / 25 Highway,Hydro Blue Pearlcoat - Blue,Black Leather
1015,Used 2019 Nissan Altima 2.5 S,"17,366","42,721",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,28 City / 39 Highway,Deep Blue Pearl,Charcoal
1016,Used 2020 Kia Optima LX,"17,375","36,518",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,24 City / 32 Highway,Snow White Pearl,Black
1017,Used 2020 Kia Optima LX,"17,406","39,305",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,24 City / 32 Highway,Snow White Pearl,Black
1018,Used 2019 Volkswagen Jetta SE,"17,580","30,842",2 wheel drive - front,4-Cylinder Turbo,8-Speed Automatic,Gasoline,30 City / 39 Highway,Pyrite Silver Metallic,Titan Black
1019,Used 2019 Volkswagen Jetta SE,"17,622","35,700",2 wheel drive - front,4-Cylinder Turbo,8-Speed Automatic,Gasoline,30 City / 39 Highway,Black Uni,Titan Black
1021,Used 2019 Honda Accord 1.5T LX,"21,264","27,268",2 wheel drive - front,4-Cylinder Turbo,Continuously Variable Automatic,Gasoline,30 City / 38 Highway,White,Ivory
1022,Used 2017 Ford Explorer 4WD Limited,"26,999","73,102",4 wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,16 City / 22 Highway,Black,Ebony Black
1023,Used 2018 Ford F150 XL,"37,995","35,145",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"5'6""",18 City / 23 Highway,White
1024,Used 2018 MAZDA MAZDA3 Sport Sedan,"14,791","38,479",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,28 City / 37 Highway,Snowflake White Pearl Mica,Black
1025,Used 2014 Mercedes-Benz CLA 250,"15,491","96,565",2 wheel drive - front,4-Cylinder Turbo,7-Speed Automatic,Gasoline,26 City / 38 Highway,Night Black,Black
1026,Used 2014 Honda Ridgeline Sport,"18,691","95,979",4 wheel drive,6-Cylinder,5-Speed Automatic,Gasoline,5',15 City / 21 Highway,Crystal Black Pearl
1027,Used 2014 Mercedes-Benz E 350 Sedan,"18,991","71,551",2 wheel drive - rear,6-Cylinder,7-Speed Automatic,Gasoline,21 City / 30 Highway,Obsidian Black Metallic,Black
1028,Used 2019 Toyota Camry SE,"20,591","46,223",2 wheel drive - front,4-Cylinder,8-Speed Automatic,Gasoline,29 City / 41 Highway,Predawn Gray Mica,Black
1029,Used 2018 Toyota Sienna XLE,"23,491","71,174",2 wheel drive - front,6-Cylinder,8-Speed Automatic,Gasoline,19 City / 27 Highway,Predawn Gray Mica,Ash
1030,Used 2016 Dodge Challenger R/T,"26,991","58,415",2 wheel drive - rear,8-Cylinder,8-Speed Automatic,Gasoline,16 City / 25 Highway,Jazz Blue Pearlcoat,Black
1031,Used 2018 Honda Odyssey Touring,"33,991","48,575",2 wheel drive - front,6-Cylinder,10-Speed Automatic,Gasoline,19 City / 28 Highway,Crystal Black Pearl,Mocha
1032,Used 2017 Ford Explorer FWD XLT,"26,000","19,975",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,17 City / 24 Highway,Gold,Black
1033,Used 2017 Ford Fusion SE,"17,000","26,381",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,23 City / 34 Highway,Shadow Black,Medium Light Stone
1034,Used 2017 Ford Fusion Titanium,"18,500","22,008",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,21 City / 31 Highway,Shadow Black,Ebony
1035,Used 2011 Chrysler 300 Limited,"10,995","122,928",2 wheel drive - rear,6-Cylinder,5-Speed Automatic,Flexible Fuel,18 City / 27 Highway,Brilliant Black Crystal Pearlcoat,Black
1036,Used 2019 Subaru Impreza 2.0i Premium Hatchback,"20,995","19,516",All wheel drive,4-Cylinder,Continuously Variable Automatic,Gasoline,28 City / 36 Highway,Ice Silver Metallic,Black
1037,Used 2019 Subaru Legacy 2.5i Premium,"22,500","29,039",All wheel drive,4-Cylinder,Continuously Variable Automatic,Gasoline,25 City / 34 Highway,Crystal White Pearl,Slate Black
1038,Used 2014 Ford Escape FWD SE,"11,000","88,193",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,22 City / 29 Highway,Oxford White,Charcoal Black
1039,Used 2019 Ford Fiesta SE Sedan,"12,000","29,708",2 wheel drive - front,4-Cylinder,6-Speed Shiftable Automatic,Gasoline,27 City / 37 Highway,Shadow Black,Smoke Storm
1040,Used 2019 Nissan Sentra SR,"14,500","37,463",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,29 City / 37 Highway,Gun Metallic,Charcoal
1041,New 2021 Kia K5 LXS,"26,375MSRP",16,2 wheel drive - front,4-Cylinder Turbo,8-Speed Automatic,Gasoline,27 City / 37 Highway,Ebony Black,Sand
1043,Certified 2016 Chevrolet Impala LT w/ Convenience Package,"15,500","63,153",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,19 City / 29 Highway,Silver Ice Metallic,Jet Black
1045,Used 2019 Ford Fusion Titanium AWD,"19,200","37,439",All wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,20 City / 29 Highway,Oxford White,Ebony Black
1046,Used 2017 Ford Explorer 4WD Limited,"24,000","73,970",4 wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,18 City / 25 Highway,Magnetic,Ebony
1047,Used 2017 Ford Explorer 4WD XLT,"24,500","59,140",4 wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,18 City / 25 Highway,Black,Black
1048,Certified 2016 Chevrolet Colorado Z71,"28,990","71,819",4 wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,"5'2""",17 City / 24 Highway,Summit White
1049,Used 2019 Ford Edge AWD Titanium,"27,000","42,018",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,21 City / 28 Highway,Black,Ebony
1050,Used 2018 Ford F150 SuperCab XLT,"30,000","55,264",4 wheel drive,8-Cylinder,10-Speed Automatic,Flexible Fuel,18 City / 23 Highway,White,Black
1051,Used 2019 Jeep Grand Cherokee 4WD Limited,"31,000","39,476",4 wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,18 City / 25 Highway,Bright White Clearcoat,Black
1052,Used 2017 GMC Sierra 1500 4x4 Crew Cab SLT,"36,500","65,054",4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,"5'10""",16 City / 22 Highway,Crimson Red Tintcoat
1053,Certified 2019 Ford Fusion SE Hybrid,"16,987","13,036",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,43 City / 40 Highway,Rich Copper Metallic Tinted Clearcoat
1055,Certified 2017 Ford Fusion Sport AWD,"22,500","25,119",All wheel drive,6-Cylinder Turbo,6-Speed Automatic,Gasoline,17 City / 26 Highway,Shadow Black,Dark Earth Gray
1056,Certified 2017 Ford Edge AWD SEL,"22,682","42,847",All wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,20 City / 27 Highway,Shadow Black,Dune
1058,Certified 2017 Ford Flex FWD SEL,"23,552","31,965",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,16 City / 23 Highway,Shadow Black,Charcoal Black
1059,Certified 2019 Ford Edge FWD Titanium,"28,787","13,728",2 wheel drive - front,4-Cylinder Turbo,8-Speed Automatic,Gasoline,22 City / 29 Highway,Baltic Sea Green Metallic,Ceramic
1061,Certified 2018 Ford F150 XLT,"37,640","23,893",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"5'6""",18 City / 23 Highway,Shadow Black
1062,Used 2019 GMC Terrain AWD SLT,"19,980","40,073",All wheel drive,4-Cylinder Turbo,9-Speed Automatic,Gasoline,24 City / 28 Highway,Summit White,Jet Black
1063,Used 2019 Kia Rio S Sedan,"11,854","40,170",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,28 City / 37 Highway,Currant Red,Black
1064,Used 2017 Dodge Grand Caravan SXT,"13,886","83,979",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,17 City / 25 Highway,White Knuckle Clearcoat,Black
1065,Used 2019 Volkswagen Jetta S,"15,756","26,621",2 wheel drive - front,4-Cylinder Turbo,8-Speed Automatic,Gasoline,30 City / 40 Highway,Silver,Storm Gray
1066,Certified 2017 Honda Accord Sport Sedan,"17,379","78,001",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,27 City / 36 Highway,White Orchid Pearl,Black
1067,Used 2015 Jeep Grand Cherokee Laredo,"17,822","96,633",4 wheel drive,6-Cylinder,8-Speed Automatic,Flexible Fuel,17 City / 24 Highway,Deep Cherry Red Crystal Pearlcoat,Black
1070,Certified 2019 Honda CR-V AWD EX-L,"28,788","30,011",All wheel drive,4-Cylinder Turbo,Continuously Variable Automatic,Gasoline,27 City / 33 Highway,Sandstorm Metallic,Ivory
1071,Used 2019 Volkswagen Atlas 4Motion SE V6,"31,733","29,338",All wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,17 City / 23 Highway,White,Titan Black
1072,Used 2018 Nissan Altima 2.5 SV Sedan,"12,495","33,220",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,27 City / 38 Highway,Gray,Black
1074,Certified 2019 Honda Pilot AWD Touring,"35,989","39,044",All wheel drive,6-Cylinder,9-Speed Automatic,Gasoline,19 City / 26 Highway,Crystal Black,Black
1075,Certified 2017 Chevrolet Malibu LS w/ 1LS,"16,995","19,197",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,27 City / 36 Highway,Summit White - White,Jet Black Cloth
1076,Certified 2018 Chevrolet Equinox FWD LT w/ 1LT,"20,395","24,939",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,26 City / 32 Highway,Summit White - White,Jet Black Cloth
1077,Used 2018 Dodge Charger SXT w/ Blacktop Package,"25,995","18,132",2 wheel drive - rear,6-Cylinder,8-Speed Automatic,Gasoline,19 City / 30 Highway,White Knuckle Clearcoat - White,Black Cloth
